Sample,FunctionalGroup,JSD
IFCB1_2009_001_001602,Ciliate,
IFCB1_2009_001_001602,Diatom,0.41228098023353665
IFCB1_2009_001_001602,Dinoflagellata,0.5970405983969512
IFCB1_2009_001_001602,Flagellate,0.036251013390100235
IFCB1_2009_001_001602,Other,0.13241294852052055
IFCB1_2009_001_003939,Ciliate,
IFCB1_2009_001_003939,Diatom,0.33408382097742895
IFCB1_2009_001_003939,Dinoflagellata,0.5851051232669584
IFCB1_2009_001_003939,Flagellate,0.03087252643909268
IFCB1_2009_001_003939,Other,0.13216197668932944
IFCB1_2009_006_201718,Ciliate,
IFCB1_2009_006_201718,Diatom,0.26398541132907144
IFCB1_2009_006_201718,Dinoflagellata,0.2913976279310161
IFCB1_2009_006_201718,Flagellate,0.05334127517465962
IFCB1_2009_006_201718,Other,0.12356962101828917
IFCB1_2009_006_203845,Ciliate,
IFCB1_2009_006_203845,Diatom,0.3171944393309151
IFCB1_2009_006_203845,Dinoflagellata,
IFCB1_2009_006_203845,Flagellate,0.030997264967147838
IFCB1_2009_006_203845,Other,0.12333384053153101
IFCB1_2009_006_210219,Ciliate,
IFCB1_2009_006_210219,Diatom,0.30025414035734443
IFCB1_2009_006_210219,Dinoflagellata,0.37731476881062936
IFCB1_2009_006_210219,Flagellate,0.036251013390100235
IFCB1_2009_006_210219,Other,0.12518557957901633
IFCB1_2009_022_000342,Ciliate,
IFCB1_2009_022_000342,Diatom,0.337565898648501
IFCB1_2009_022_000342,Dinoflagellata,
IFCB1_2009_022_000342,Flagellate,0.06657480686517929
IFCB1_2009_022_000342,Other,0.16196875068783095
IFCB1_2009_022_002654,Ciliate,
IFCB1_2009_022_002654,Diatom,0.3388539532489961
IFCB1_2009_022_002654,Dinoflagellata,
IFCB1_2009_022_002654,Flagellate,0.081137179056422
IFCB1_2009_022_002654,Other,0.17151480395769564
IFCB1_2009_022_005008,Ciliate,
IFCB1_2009_022_005008,Diatom,0.30934892190787605
IFCB1_2009_022_005008,Dinoflagellata,
IFCB1_2009_022_005008,Flagellate,0.06929720480804263
IFCB1_2009_022_005008,Other,0.13038557597865388
IFCB1_2009_034_002158,Ciliate,0.25795796160137174
IFCB1_2009_034_002158,Diatom,0.5356381997518546
IFCB1_2009_034_002158,Dinoflagellata,
IFCB1_2009_034_002158,Flagellate,0.07145709933343708
IFCB1_2009_034_002158,Other,0.11929549390554947
IFCB1_2009_034_004443,Ciliate,
IFCB1_2009_034_004443,Diatom,0.5439290374437517
IFCB1_2009_034_004443,Dinoflagellata,
IFCB1_2009_034_004443,Flagellate,0.13202692985869524
IFCB1_2009_034_004443,Other,0.1151726244434517
IFCB1_2009_041_200046,Ciliate,
IFCB1_2009_041_200046,Diatom,0.5920338692346933
IFCB1_2009_041_200046,Dinoflagellata,
IFCB1_2009_041_200046,Flagellate,0.1009868384006261
IFCB1_2009_041_200046,Other,0.12576395757307793
IFCB1_2009_041_201714,Ciliate,
IFCB1_2009_041_201714,Diatom,0.5906229615352646
IFCB1_2009_041_201714,Dinoflagellata,
IFCB1_2009_041_201714,Flagellate,0.12032209695686578
IFCB1_2009_041_201714,Other,
IFCB1_2009_041_202359,Ciliate,
IFCB1_2009_041_202359,Diatom,0.5793013781330534
IFCB1_2009_041_202359,Dinoflagellata,
IFCB1_2009_041_202359,Flagellate,0.08498350439786818
IFCB1_2009_041_202359,Other,0.08445578786011837
IFCB1_2009_041_204230,Ciliate,
IFCB1_2009_041_204230,Diatom,
IFCB1_2009_041_204230,Dinoflagellata,
IFCB1_2009_041_204230,Flagellate,0.11646047835073547
IFCB1_2009_041_204230,Other,
IFCB1_2009_041_204709,Ciliate,
IFCB1_2009_041_204709,Diatom,0.6079478242048535
IFCB1_2009_041_204709,Dinoflagellata,
IFCB1_2009_041_204709,Flagellate,0.11309280468731685
IFCB1_2009_041_204709,Other,0.11957203903284157
IFCB1_2009_041_210044,Ciliate,
IFCB1_2009_041_210044,Diatom,0.5830939728637413
IFCB1_2009_041_210044,Dinoflagellata,
IFCB1_2009_041_210044,Flagellate,0.10865026980959244
IFCB1_2009_041_210044,Other,0.117420630514585
IFCB1_2009_051_001203,Ciliate,
IFCB1_2009_051_001203,Diatom,0.6002532803806004
IFCB1_2009_051_001203,Dinoflagellata,
IFCB1_2009_051_001203,Flagellate,0.038147376037724105
IFCB1_2009_051_001203,Other,0.12082196668265238
IFCB1_2009_051_003517,Ciliate,
IFCB1_2009_051_003517,Diatom,0.5814053202189794
IFCB1_2009_051_003517,Dinoflagellata,
IFCB1_2009_051_003517,Flagellate,0.0513314033431935
IFCB1_2009_051_003517,Other,0.11625736902447495
IFCB1_2009_051_005834,Ciliate,
IFCB1_2009_051_005834,Diatom,0.632798770498274
IFCB1_2009_051_005834,Dinoflagellata,
IFCB1_2009_051_005834,Flagellate,0.03685217327760398
IFCB1_2009_051_005834,Other,0.12528447889883554
IFCB1_2009_067_000255,Ciliate,
IFCB1_2009_067_000255,Diatom,0.7060687351737766
IFCB1_2009_067_000255,Dinoflagellata,0.2571004247117034
IFCB1_2009_067_000255,Flagellate,0.036251013390100235
IFCB1_2009_067_000255,Other,
IFCB1_2009_067_002610,Ciliate,
IFCB1_2009_067_002610,Diatom,0.6873987749064692
IFCB1_2009_067_002610,Dinoflagellata,
IFCB1_2009_067_002610,Flagellate,0.038831700690191616
IFCB1_2009_067_002610,Other,
IFCB1_2009_067_004943,Ciliate,
IFCB1_2009_067_004943,Diatom,0.6890997402987143
IFCB1_2009_067_004943,Dinoflagellata,
IFCB1_2009_067_004943,Flagellate,0.03397222327487034
IFCB1_2009_067_004943,Other,
IFCB1_2009_067_180909,Ciliate,
IFCB1_2009_067_180909,Diatom,0.7238395651924772
IFCB1_2009_067_180909,Dinoflagellata,
IFCB1_2009_067_180909,Flagellate,0.03021601852665158
IFCB1_2009_067_180909,Other,0.1756755813657422
IFCB1_2009_067_183223,Ciliate,
IFCB1_2009_067_183223,Diatom,0.6941653423187154
IFCB1_2009_067_183223,Dinoflagellata,
IFCB1_2009_067_183223,Flagellate,0.037649074692962636
IFCB1_2009_067_183223,Other,0.17815575935707947
IFCB1_2009_067_185511,Ciliate,
IFCB1_2009_067_185511,Diatom,0.7253708278926064
IFCB1_2009_067_185511,Dinoflagellata,
IFCB1_2009_067_185511,Flagellate,0.02898772144232596
IFCB1_2009_067_185511,Other,0.13422960878912854
IFCB1_2009_085_171811,Ciliate,
IFCB1_2009_085_171811,Diatom,0.7113316300639019
IFCB1_2009_085_171811,Dinoflagellata,0.22341173490186605
IFCB1_2009_085_171811,Flagellate,0.09118839985496485
IFCB1_2009_085_171811,Other,0.038733544618338424
IFCB1_2009_085_174126,Ciliate,
IFCB1_2009_085_174126,Diatom,0.7218971980581296
IFCB1_2009_085_174126,Dinoflagellata,0.22487285640807544
IFCB1_2009_085_174126,Flagellate,0.08331799445871595
IFCB1_2009_085_174126,Other,0.14591036294094645
IFCB1_2009_085_180459,Ciliate,
IFCB1_2009_085_180459,Diatom,0.6700030859773248
IFCB1_2009_085_180459,Dinoflagellata,0.23043838515524492
IFCB1_2009_085_180459,Flagellate,0.07192187523080479
IFCB1_2009_085_180459,Other,0.038897513309640315
IFCB1_2009_087_001047,Ciliate,
IFCB1_2009_087_001047,Diatom,
IFCB1_2009_087_001047,Dinoflagellata,
IFCB1_2009_087_001047,Flagellate,0.06013927715213648
