Sample,FunctionalGroup,JSD
IFCB1_2009_001_001602,Ciliate,
IFCB1_2009_001_001602,Diatom,0.418756883432608
IFCB1_2009_001_001602,Dinoflagellata,0.6218746819762933
IFCB1_2009_001_001602,Flagellate,0.0391982936800298
IFCB1_2009_001_001602,Other,0.1484133233456235
IFCB1_2009_001_003939,Ciliate,
IFCB1_2009_001_003939,Diatom,0.34330853752278345
IFCB1_2009_001_003939,Dinoflagellata,0.6004072806785969
IFCB1_2009_001_003939,Flagellate,0.034283482796686
IFCB1_2009_001_003939,Other,0.14912075241028788
IFCB1_2009_006_201718,Ciliate,
IFCB1_2009_006_201718,Diatom,0.26906012904193183
IFCB1_2009_006_201718,Dinoflagellata,0.3304098811727452
IFCB1_2009_006_201718,Flagellate,0.055376682050542046
IFCB1_2009_006_201718,Other,0.1398684611277194
IFCB1_2009_006_203845,Ciliate,
IFCB1_2009_006_203845,Diatom,0.3216887297471959
IFCB1_2009_006_203845,Dinoflagellata,
IFCB1_2009_006_203845,Flagellate,0.03439009958175917
IFCB1_2009_006_203845,Other,0.13992031814326705
IFCB1_2009_006_210219,Ciliate,
IFCB1_2009_006_210219,Diatom,0.31499987806579094
IFCB1_2009_006_210219,Dinoflagellata,0.4139213327637232
IFCB1_2009_006_210219,Flagellate,0.0391982936800298
IFCB1_2009_006_210219,Other,0.1353466577530482
IFCB1_2009_022_000342,Ciliate,
IFCB1_2009_022_000342,Diatom,0.34828506738435744
IFCB1_2009_022_000342,Dinoflagellata,
IFCB1_2009_022_000342,Flagellate,0.06828585946592575
IFCB1_2009_022_000342,Other,0.18701818205485748
IFCB1_2009_022_002654,Ciliate,
IFCB1_2009_022_002654,Diatom,0.35523150723826674
IFCB1_2009_022_002654,Dinoflagellata,
IFCB1_2009_022_002654,Flagellate,0.08247838563560604
IFCB1_2009_022_002654,Other,0.201938703672114
IFCB1_2009_022_005008,Ciliate,
IFCB1_2009_022_005008,Diatom,0.3245698007959901
IFCB1_2009_022_005008,Dinoflagellata,
IFCB1_2009_022_005008,Flagellate,0.07086680224886514
IFCB1_2009_022_005008,Other,0.1580929405428806
IFCB1_2009_034_002158,Ciliate,0.3758878756162097
IFCB1_2009_034_002158,Diatom,0.540830860840607
IFCB1_2009_034_002158,Dinoflagellata,
IFCB1_2009_034_002158,Flagellate,0.07305930234054979
IFCB1_2009_034_002158,Other,0.14156170862077166
IFCB1_2009_034_004443,Ciliate,
IFCB1_2009_034_004443,Diatom,0.5486204750038934
IFCB1_2009_034_004443,Dinoflagellata,
IFCB1_2009_034_004443,Flagellate,0.13290997402303983
IFCB1_2009_034_004443,Other,0.13989550465226067
IFCB1_2009_041_200046,Ciliate,
IFCB1_2009_041_200046,Diatom,0.5983181145321931
IFCB1_2009_041_200046,Dinoflagellata,
IFCB1_2009_041_200046,Flagellate,0.10206065543998996
IFCB1_2009_041_200046,Other,0.13545367121697988
IFCB1_2009_041_201714,Ciliate,
IFCB1_2009_041_201714,Diatom,0.5956840405889833
IFCB1_2009_041_201714,Dinoflagellata,
IFCB1_2009_041_201714,Flagellate,0.12121911983348553
IFCB1_2009_041_201714,Other,
IFCB1_2009_041_202359,Ciliate,
IFCB1_2009_041_202359,Diatom,0.5825960083123966
IFCB1_2009_041_202359,Dinoflagellata,
IFCB1_2009_041_202359,Flagellate,0.08626340542668785
IFCB1_2009_041_202359,Other,0.1215650018815304
IFCB1_2009_041_204230,Ciliate,
IFCB1_2009_041_204230,Diatom,
IFCB1_2009_041_204230,Dinoflagellata,
IFCB1_2009_041_204230,Flagellate,0.11738965937509231
IFCB1_2009_041_204230,Other,
IFCB1_2009_041_204709,Ciliate,
IFCB1_2009_041_204709,Diatom,0.6147189499977957
IFCB1_2009_041_204709,Dinoflagellata,
IFCB1_2009_041_204709,Flagellate,0.1140500457109614
IFCB1_2009_041_204709,Other,0.1413893023171613
IFCB1_2009_041_210044,Ciliate,
IFCB1_2009_041_210044,Diatom,0.5896322622636448
IFCB1_2009_041_210044,Dinoflagellata,
IFCB1_2009_041_210044,Flagellate,0.10964896810902382
IFCB1_2009_041_210044,Other,0.1490745208598256
IFCB1_2009_051_001203,Ciliate,
IFCB1_2009_051_001203,Diatom,0.6055624018628918
IFCB1_2009_051_001203,Dinoflagellata,
IFCB1_2009_051_001203,Flagellate,0.04095047702332659
IFCB1_2009_051_001203,Other,0.13512977486062752
IFCB1_2009_051_003517,Ciliate,
IFCB1_2009_051_003517,Diatom,0.5847272120277324
IFCB1_2009_051_003517,Dinoflagellata,
IFCB1_2009_051_003517,Flagellate,0.05344303439556796
IFCB1_2009_051_003517,Other,0.13526045460133845
IFCB1_2009_051_005834,Ciliate,
IFCB1_2009_051_005834,Diatom,0.6363817468680207
IFCB1_2009_051_005834,Dinoflagellata,
IFCB1_2009_051_005834,Flagellate,0.039749341412390844
IFCB1_2009_051_005834,Other,0.135363889557364
IFCB1_2009_067_000255,Ciliate,
IFCB1_2009_067_000255,Diatom,0.7105190684431737
IFCB1_2009_067_000255,Dinoflagellata,0.28957342299312816
