Sample,FunctionalGroup,METHOD,MAE,MRAE,JSD,LEVEL
IFCB1_2009_001_001602,Diatom,CC,0.006629964412812633,0.045280456309333646,0.4122809802335366,AutoClass
IFCB1_2009_001_001602,Dinoflagellata,CC,0.0005000406710724027,0.030752808799040757,0.5970405983969512,AutoClass
IFCB1_2009_001_001602,Flagellate,CC,0.006098454499237405,0.010063788407599928,0.0362510133901002,AutoClass
IFCB1_2009_001_001602,Other,CC,0.011691270971021683,0.05043471364920272,0.1324129485205205,AutoClass
IFCB1_2009_001_001602,Ciliate,CC,0.0005071072699540003,0.11120773463903515,,AutoClass
IFCB1_2009_001_003939,Diatom,CC,0.0009873288003896807,0.007181095355223512,0.3340838209774289,AutoClass
IFCB1_2009_001_003939,Dinoflagellata,CC,0.0019336328314714032,0.08281082790027423,0.5851051232669584,AutoClass
IFCB1_2009_001_003939,Flagellate,CC,0.006808125303545465,0.01099379156675677,0.0308725264390926,AutoClass
IFCB1_2009_001_003939,Other,CC,0.008259422049538528,0.038211529259951554,0.1321619766893294,AutoClass
IFCB1_2009_001_003939,Ciliate,CC,0.002427600777076401,0.2768073862116763,,AutoClass
IFCB1_2009_006_201718,Diatom,CC,0.018094234724744,0.07599745778799614,0.2639854113290714,AutoClass
IFCB1_2009_006_201718,Dinoflagellata,CC,0.0096706291591049,0.47521519209360685,0.2913976279310161,AutoClass
IFCB1_2009_006_201718,Flagellate,CC,0.04840611615244994,0.07711295645014567,0.0533412751746596,AutoClass
IFCB1_2009_006_201718,Other,CC,0.018756134301270502,0.16434008850670728,0.1235696210182891,AutoClass
IFCB1_2009_006_201718,Ciliate,CC,0.0018051179673321998,0.39071817474722936,,AutoClass
IFCB1_2009_006_203845,Diatom,CC,0.01565755267423105,0.07194574587249483,0.3171944393309151,AutoClass
IFCB1_2009_006_203845,Dinoflagellata,CC,0.0053952782279852,0.3238462321719808,,AutoClass
IFCB1_2009_006_203845,Flagellate,CC,0.02917909238249561,0.04384536796768686,0.0309972649671478,AutoClass
IFCB1_2009_006_203845,Other,CC,0.007558249594813701,0.07609997578346457,0.123333840531531,AutoClass
IFCB1_2009_006_203845,Ciliate,CC,0.0005380118854673996,0.09181090195689413,,AutoClass
IFCB1_2009_006_210219,Diatom,CC,0.02226782608695746,0.11482996125700008,0.3002541403573444,AutoClass
IFCB1_2009_006_210219,Dinoflagellata,CC,0.007072173913043597,0.28379510084444615,0.3773147688106293,AutoClass
IFCB1_2009_006_210219,Flagellate,CC,0.030980869565217395,0.046885301560606246,0.0362510133901002,AutoClass
IFCB1_2009_006_210219,Other,CC,0.002716086956521896,0.022941861276475177,0.1251855795790163,AutoClass
IFCB1_2009_006_210219,Ciliate,CC,0.0010952173913041999,0.15713305470648492,,AutoClass
IFCB1_2009_022_000342,Diatom,CC,0.01026273546273615,0.0372107884798265,0.337565898648501,AutoClass
IFCB1_2009_022_000342,Dinoflagellata,CC,0.0008185094185093004,0.08526139776138544,,AutoClass
IFCB1_2009_022_000342,Flagellate,CC,0.020886879606879738,0.03251989725179009,0.0665748068651792,AutoClass
IFCB1_2009_022_000342,Other,CC,0.03029959868959861,0.4366565598731606,0.1619687506878309,AutoClass
IFCB1_2009_022_000342,Ciliate,CC,1.50696150689935e-06,0.00018931677222353642,,AutoClass
IFCB1_2009_022_002654,Diatom,CC,0.00493602638087276,0.016950640044205902,0.3388539532489961,AutoClass
IFCB1_2009_022_002654,Dinoflagellata,CC,0.00288823577906,0.2652190798034894,,AutoClass
IFCB1_2009_022_002654,Flagellate,CC,0.03338957955482302,0.05445847396076302,0.081137179056422,AutoClass
IFCB1_2009_022_002654,Other,CC,0.023499093157460807,0.28587704571120204,0.1715148039576956,AutoClass
IFCB1_2009_022_002654,Ciliate,CC,0.002066224237427699,0.27222980730272717,,AutoClass
