Level,METHOD,Ciliate,Diatom,Dinoflagellata,Flagellate,Other,MEAN_MAE
FG,CC,0.00095,0.01415,0.00841,0.03337,0.02777,0.01693
AC,CC,0.00090,0.01523,0.00952,0.02882,0.02910,0.01671
OC,CC,0.00139,0.01270,0.00801,0.02844,0.02562,0.01523
FG,ACC,0.00121,0.01625,0.01093,0.04218,0.03723,0.02156
AC,ACC,0.00145,0.02093,0.01225,0.03856,0.03891,0.02242
OC,ACC,0.00191,0.01815,0.01213,0.03978,0.03550,0.02149
FG,PCC,0.00111,0.02104,0.00916,0.04728,0.03683,0.02308
AC,PCC,0.00098,0.01671,0.00953,0.03802,0.03611,0.02027
OC,PCC,0.00197,0.01673,0.00916,0.04066,0.03392,0.02049
FG,PACC,0.00134,0.02168,0.01285,0.06160,0.05025,0.02955
AC,PACC,0.00142,0.02268,0.01300,0.05200,0.05061,0.02794
OC,PACC,0.00227,0.02412,0.01256,0.05560,0.04706,0.02832
FG,EMQ,0.00168,0.03636,0.04645,0.11229,0.07569,0.05450
AC,EMQ,0.00350,0.12129,0.04873,0.24148,0.12632,0.10826
OC,EMQ,0.02258,0.34378,0.08175,0.58973,0.20874,0.24932
