method,sample,class,y_pred
ACC,IFCB1_2009_087_005743,Asterionellopsis,2.2101759955965958e-17
ACC,IFCB1_2009_087_005743,Cerataulina,5.047591082000661e-16
ACC,IFCB1_2009_087_005743,Ceratium,1.0461311450015862e-16
ACC,IFCB1_2009_087_005743,Chaetoceros,2.520734294700451e-16
ACC,IFCB1_2009_087_005743,Corethron,1.1208501767375891e-16
ACC,IFCB1_2009_087_005743,Coscinodiscus,5.243362001372626e-17
ACC,IFCB1_2009_087_005743,Cylindrotheca,0.0027025721401639
ACC,IFCB1_2009_087_005743,DactFragCerataul,7.971186299456756e-17
ACC,IFCB1_2009_087_005743,Dactyliosolen,7.900827541399761e-17
ACC,IFCB1_2009_087_005743,Dictyocha,0.0
ACC,IFCB1_2009_087_005743,Dinobryon,7.75033738808876e-17
ACC,IFCB1_2009_087_005743,Dinophysis,0.0
ACC,IFCB1_2009_087_005743,Ditylum,3.2977228985878336e-16
ACC,IFCB1_2009_087_005743,Ephemera,1.4500813088734995e-16
ACC,IFCB1_2009_087_005743,Eucampia,0.0
ACC,IFCB1_2009_087_005743,Euglena,0.0
ACC,IFCB1_2009_087_005743,Gonyaulax,2.090555937068613e-16
ACC,IFCB1_2009_087_005743,Guinardia,3.940646310783847e-17
ACC,IFCB1_2009_087_005743,Guinardia_flaccida,0.0
ACC,IFCB1_2009_087_005743,Guinardia_striata,0.0
ACC,IFCB1_2009_087_005743,Gyrodinium,1.8026382813417935e-16
ACC,IFCB1_2009_087_005743,Laboea,1.660275790494489e-17
ACC,IFCB1_2009_087_005743,Lauderia,0.0
ACC,IFCB1_2009_087_005743,Leptocylindrus,0.0062383241677406
ACC,IFCB1_2009_087_005743,Licmophora,0.0
ACC,IFCB1_2009_087_005743,Myrionecta,0.0
ACC,IFCB1_2009_087_005743,Odontella,0.0
ACC,IFCB1_2009_087_005743,Paralia,0.0
ACC,IFCB1_2009_087_005743,Phaeocystis,0.0
ACC,IFCB1_2009_087_005743,Pleurosigma,6.436079507157994e-18
ACC,IFCB1_2009_087_005743,Prorocentrum,0.0
ACC,IFCB1_2009_087_005743,Pseudonitzschia,4.88917785829288e-16
ACC,IFCB1_2009_087_005743,Pyramimonas,0.0
ACC,IFCB1_2009_087_005743,Rhizosolenia,6.936105273335525e-17
ACC,IFCB1_2009_087_005743,Skeletonema,0.0
ACC,IFCB1_2009_087_005743,Stephanopyxis,1.5887608684358006e-17
ACC,IFCB1_2009_087_005743,Thalassionema,3.0030450656e-17
ACC,IFCB1_2009_087_005743,Thalassiosira,1.4044378665429455e-16
ACC,IFCB1_2009_087_005743,Thalassiosira_dirty,0.0
ACC,IFCB1_2009_087_005743,bad,9.527783687582621e-17
ACC,IFCB1_2009_087_005743,ciliate_mix,9.665641903786116e-17
ACC,IFCB1_2009_087_005743,clusterflagellate,9.500645980915024e-17
ACC,IFCB1_2009_087_005743,detritus,1.637344223313484e-16
ACC,IFCB1_2009_087_005743,dino30,0.0
ACC,IFCB1_2009_087_005743,kiteflagellates,1.2653885068881006e-16
ACC,IFCB1_2009_087_005743,mix,0.9910591036920914
ACC,IFCB1_2009_087_005743,mix_elongated,1.5100544960440807e-16
ACC,IFCB1_2009_087_005743,na,3.2285756140022754e-16
ACC,IFCB1_2009_087_005743,pennate,0.0
ACC,IFCB1_2009_087_005743,tintinnid,0.0
ACC,IFCB1_2009_067_183223,Asterionellopsis,1.1633366478682004e-16
ACC,IFCB1_2009_067_183223,Cerataulina,0.0
ACC,IFCB1_2009_067_183223,Ceratium,0.0
ACC,IFCB1_2009_067_183223,Chaetoceros,0.0021349835464744
ACC,IFCB1_2009_067_183223,Corethron,7.591298723404388e-17
ACC,IFCB1_2009_067_183223,Coscinodiscus,0.0
ACC,IFCB1_2009_067_183223,Cylindrotheca,0.0008217781246494
ACC,IFCB1_2009_067_183223,DactFragCerataul,1.141378001095094e-16
ACC,IFCB1_2009_067_183223,Dactyliosolen,0.0
ACC,IFCB1_2009_067_183223,Dictyocha,0.0
ACC,IFCB1_2009_067_183223,Dinobryon,0.0
ACC,IFCB1_2009_067_183223,Dinophysis,0.0
ACC,IFCB1_2009_067_183223,Ditylum,0.0
ACC,IFCB1_2009_067_183223,Ephemera,4.592417762059622e-17
ACC,IFCB1_2009_067_183223,Eucampia,8.212893961931653e-17
ACC,IFCB1_2009_067_183223,Euglena,0.0
ACC,IFCB1_2009_067_183223,Gonyaulax,3.1747741821646013e-17
ACC,IFCB1_2009_067_183223,Guinardia,0.0319553793447722
ACC,IFCB1_2009_067_183223,Guinardia_flaccida,0.0
ACC,IFCB1_2009_067_183223,Guinardia_striata,4.302632031158616e-17
ACC,IFCB1_2009_067_183223,Gyrodinium,1.727975971675497e-17
ACC,IFCB1_2009_067_183223,Laboea,0.0
ACC,IFCB1_2009_067_183223,Lauderia,0.0
ACC,IFCB1_2009_067_183223,Leptocylindrus,2.1687505442692128e-17
ACC,IFCB1_2009_067_183223,Licmophora,1.4701143679471858e-17
ACC,IFCB1_2009_067_183223,Myrionecta,0.0
ACC,IFCB1_2009_067_183223,Odontella,0.0
ACC,IFCB1_2009_067_183223,Paralia,0.0
ACC,IFCB1_2009_067_183223,Phaeocystis,2.787004111636349e-17
ACC,IFCB1_2009_067_183223,Pleurosigma,5.775466447344294e-17
ACC,IFCB1_2009_067_183223,Prorocentrum,0.0
ACC,IFCB1_2009_067_183223,Pseudonitzschia,0.0
ACC,IFCB1_2009_067_183223,Pyramimonas,6.537707313834303e-17
ACC,IFCB1_2009_067_183223,Rhizosolenia,0.0
ACC,IFCB1_2009_067_183223,Skeletonema,0.0
ACC,IFCB1_2009_067_183223,Stephanopyxis,0.0
ACC,IFCB1_2009_067_183223,Thalassionema,1.2641025619800652e-16
ACC,IFCB1_2009_067_183223,Thalassiosira,0.0029535180267575
ACC,IFCB1_2009_067_183223,Thalassiosira_dirty,1.965811475118694e-16
ACC,IFCB1_2009_067_183223,bad,4.945302460709218e-16
ACC,IFCB1_2009_067_183223,ciliate_mix,0.0017940595341895
ACC,IFCB1_2009_067_183223,clusterflagellate,1.835895246493993e-17
ACC,IFCB1_2009_067_183223,detritus,0.0
ACC,IFCB1_2009_067_183223,dino30,0.0
ACC,IFCB1_2009_067_183223,kiteflagellates,0.0
ACC,IFCB1_2009_067_183223,mix,0.9603402814231552
ACC,IFCB1_2009_067_183223,mix_elongated,0.0
ACC,IFCB1_2009_067_183223,na,1.463838673827635e-16
ACC,IFCB1_2009_067_183223,pennate,6.182470838952137e-17
ACC,IFCB1_2009_067_183223,tintinnid,2.2664421566710006e-17
ACC,IFCB5_2010_239_191241,Asterionellopsis,0.0176289023015155
ACC,IFCB5_2010_239_191241,Cerataulina,9.237460826554828e-18
ACC,IFCB5_2010_239_191241,Ceratium,5.730908258335357e-18
ACC,IFCB5_2010_239_191241,Chaetoceros,0.0242617967568484
ACC,IFCB5_2010_239_191241,Corethron,0.0
ACC,IFCB5_2010_239_191241,Coscinodiscus,2.5484341697903705e-05
ACC,IFCB5_2010_239_191241,Cylindrotheca,0.0010129663290396
ACC,IFCB5_2010_239_191241,DactFragCerataul,4.114883789983131e-17
ACC,IFCB5_2010_239_191241,Dactyliosolen,0.0012766683355846
ACC,IFCB5_2010_239_191241,Dictyocha,6.746864656844208e-17
ACC,IFCB5_2010_239_191241,Dinobryon,4.280188485485935e-19
ACC,IFCB5_2010_239_191241,Dinophysis,7.256929588577981e-17
ACC,IFCB5_2010_239_191241,Ditylum,5.4367966809171655e-18
ACC,IFCB5_2010_239_191241,Ephemera,4.344777694644441e-19
ACC,IFCB5_2010_239_191241,Eucampia,0.0
ACC,IFCB5_2010_239_191241,Euglena,0.0019775754598253
ACC,IFCB5_2010_239_191241,Gonyaulax,0.0
ACC,IFCB5_2010_239_191241,Guinardia,6.709481311179441e-17
ACC,IFCB5_2010_239_191241,Guinardia_flaccida,3.0394989802751513e-18
ACC,IFCB5_2010_239_191241,Guinardia_striata,0.0
ACC,IFCB5_2010_239_191241,Gyrodinium,0.0
ACC,IFCB5_2010_239_191241,Laboea,1.8856588938078562e-18
ACC,IFCB5_2010_239_191241,Lauderia,0.0
ACC,IFCB5_2010_239_191241,Leptocylindrus,0.0384504912460396
ACC,IFCB5_2010_239_191241,Licmophora,0.0
