method,sample,class,y_pred
CC,IFCB1_2009_087_005743,Asterionellopsis,0.0
CC,IFCB1_2009_087_005743,Cerataulina,0.0
CC,IFCB1_2009_087_005743,Ceratium,0.0
CC,IFCB1_2009_087_005743,Chaetoceros,0.0
CC,IFCB1_2009_087_005743,Corethron,0.0
CC,IFCB1_2009_087_005743,Coscinodiscus,0.0
CC,IFCB1_2009_087_005743,Cylindrotheca,0.0098522167487684
CC,IFCB1_2009_087_005743,DactFragCerataul,0.0
CC,IFCB1_2009_087_005743,Dactyliosolen,0.0
CC,IFCB1_2009_087_005743,Dictyocha,0.0
CC,IFCB1_2009_087_005743,Dinobryon,0.0024630541871921
CC,IFCB1_2009_087_005743,Dinophysis,0.0
CC,IFCB1_2009_087_005743,Ditylum,0.0
CC,IFCB1_2009_087_005743,Ephemera,0.0
CC,IFCB1_2009_087_005743,Eucampia,0.0
CC,IFCB1_2009_087_005743,Euglena,0.0
CC,IFCB1_2009_087_005743,Gonyaulax,0.0
CC,IFCB1_2009_087_005743,Guinardia,0.0
CC,IFCB1_2009_087_005743,Guinardia_flaccida,0.0
CC,IFCB1_2009_087_005743,Guinardia_striata,0.0
CC,IFCB1_2009_087_005743,Gyrodinium,0.0
CC,IFCB1_2009_087_005743,Laboea,0.0
CC,IFCB1_2009_087_005743,Lauderia,0.0
CC,IFCB1_2009_087_005743,Leptocylindrus,0.0123152709359605
CC,IFCB1_2009_087_005743,Licmophora,0.0
CC,IFCB1_2009_087_005743,Myrionecta,0.0
CC,IFCB1_2009_087_005743,Odontella,0.0
CC,IFCB1_2009_087_005743,Paralia,0.0
CC,IFCB1_2009_087_005743,Phaeocystis,0.0
CC,IFCB1_2009_087_005743,Pleurosigma,0.0
CC,IFCB1_2009_087_005743,Prorocentrum,0.0
CC,IFCB1_2009_087_005743,Pseudonitzschia,0.0
CC,IFCB1_2009_087_005743,Pyramimonas,0.0
CC,IFCB1_2009_087_005743,Rhizosolenia,0.0
CC,IFCB1_2009_087_005743,Skeletonema,0.0
CC,IFCB1_2009_087_005743,Stephanopyxis,0.0
CC,IFCB1_2009_087_005743,Thalassionema,0.0
CC,IFCB1_2009_087_005743,Thalassiosira,0.0
CC,IFCB1_2009_087_005743,Thalassiosira_dirty,0.0
CC,IFCB1_2009_087_005743,bad,0.0
CC,IFCB1_2009_087_005743,ciliate_mix,0.0024630541871921
CC,IFCB1_2009_087_005743,clusterflagellate,0.0
CC,IFCB1_2009_087_005743,detritus,0.0123152709359605
CC,IFCB1_2009_087_005743,dino30,0.0024630541871921
CC,IFCB1_2009_087_005743,kiteflagellates,0.0
CC,IFCB1_2009_087_005743,mix,0.9532019704433498
CC,IFCB1_2009_087_005743,mix_elongated,0.0049261083743842
CC,IFCB1_2009_087_005743,na,0.0
CC,IFCB1_2009_087_005743,pennate,0.0
CC,IFCB1_2009_087_005743,tintinnid,0.0
CC,IFCB1_2009_067_183223,Asterionellopsis,0.0009389671361502
CC,IFCB1_2009_067_183223,Cerataulina,0.0
CC,IFCB1_2009_067_183223,Ceratium,0.0
CC,IFCB1_2009_067_183223,Chaetoceros,0.0065727699530516
CC,IFCB1_2009_067_183223,Corethron,0.0003129890453834
CC,IFCB1_2009_067_183223,Coscinodiscus,0.0003129890453834
CC,IFCB1_2009_067_183223,Cylindrotheca,0.0028169014084507
CC,IFCB1_2009_067_183223,DactFragCerataul,0.0
CC,IFCB1_2009_067_183223,Dactyliosolen,0.0
CC,IFCB1_2009_067_183223,Dictyocha,0.0
CC,IFCB1_2009_067_183223,Dinobryon,0.0003129890453834
CC,IFCB1_2009_067_183223,Dinophysis,0.0
CC,IFCB1_2009_067_183223,Ditylum,0.0003129890453834
CC,IFCB1_2009_067_183223,Ephemera,0.0003129890453834
CC,IFCB1_2009_067_183223,Eucampia,0.0
CC,IFCB1_2009_067_183223,Euglena,0.0
CC,IFCB1_2009_067_183223,Gonyaulax,0.0
CC,IFCB1_2009_067_183223,Guinardia,0.0287949921752738
CC,IFCB1_2009_067_183223,Guinardia_flaccida,0.0
CC,IFCB1_2009_067_183223,Guinardia_striata,0.0
