method,sample,class,y_pred
DMy_b4,IFCB1_2009_087_005743,Asterionellopsis,0.0
DMy_b4,IFCB1_2009_087_005743,Cerataulina,0.0
DMy_b4,IFCB1_2009_087_005743,Ceratium,2.214408117639309e-09
DMy_b4,IFCB1_2009_087_005743,Chaetoceros,0.0
DMy_b4,IFCB1_2009_087_005743,Corethron,0.0
DMy_b4,IFCB1_2009_087_005743,Coscinodiscus,1.731760172729647e-09
DMy_b4,IFCB1_2009_087_005743,Cylindrotheca,0.0148135623775171
DMy_b4,IFCB1_2009_087_005743,DactFragCerataul,0.0
DMy_b4,IFCB1_2009_087_005743,Dactyliosolen,0.0
DMy_b4,IFCB1_2009_087_005743,Dictyocha,0.0
DMy_b4,IFCB1_2009_087_005743,Dinobryon,0.001832314629564
DMy_b4,IFCB1_2009_087_005743,Dinophysis,0.0
DMy_b4,IFCB1_2009_087_005743,Ditylum,3.078655436096732e-11
DMy_b4,IFCB1_2009_087_005743,Ephemera,2.0410575782933804e-09
DMy_b4,IFCB1_2009_087_005743,Eucampia,1.0012530589560691e-09
DMy_b4,IFCB1_2009_087_005743,Euglena,0.0
DMy_b4,IFCB1_2009_087_005743,Gonyaulax,0.0
DMy_b4,IFCB1_2009_087_005743,Guinardia,0.0
DMy_b4,IFCB1_2009_087_005743,Guinardia_flaccida,1.811824982598076e-09
DMy_b4,IFCB1_2009_087_005743,Guinardia_striata,0.0
DMy_b4,IFCB1_2009_087_005743,Gyrodinium,0.0
DMy_b4,IFCB1_2009_087_005743,Laboea,1.896745487857649e-09
DMy_b4,IFCB1_2009_087_005743,Lauderia,1.778936222368356e-09
DMy_b4,IFCB1_2009_087_005743,Leptocylindrus,0.0020673533589237
DMy_b4,IFCB1_2009_087_005743,Licmophora,1.4180876365491243e-09
DMy_b4,IFCB1_2009_087_005743,Myrionecta,0.0
DMy_b4,IFCB1_2009_087_005743,Odontella,5.057076837482701e-10
DMy_b4,IFCB1_2009_087_005743,Paralia,0.0
DMy_b4,IFCB1_2009_087_005743,Phaeocystis,1.200728480288715e-09
DMy_b4,IFCB1_2009_087_005743,Pleurosigma,0.0
DMy_b4,IFCB1_2009_087_005743,Prorocentrum,0.0
DMy_b4,IFCB1_2009_087_005743,Pseudonitzschia,0.0
DMy_b4,IFCB1_2009_087_005743,Pyramimonas,0.0
DMy_b4,IFCB1_2009_087_005743,Rhizosolenia,0.0
DMy_b4,IFCB1_2009_087_005743,Skeletonema,0.0
DMy_b4,IFCB1_2009_087_005743,Stephanopyxis,1.3340634627507144e-09
DMy_b4,IFCB1_2009_087_005743,Thalassionema,0.0
DMy_b4,IFCB1_2009_087_005743,Thalassiosira,0.0
DMy_b4,IFCB1_2009_087_005743,Thalassiosira_dirty,0.0
DMy_b4,IFCB1_2009_087_005743,bad,0.0
DMy_b4,IFCB1_2009_087_005743,ciliate_mix,0.0
DMy_b4,IFCB1_2009_087_005743,clusterflagellate,0.0
DMy_b4,IFCB1_2009_087_005743,detritus,0.0
DMy_b4,IFCB1_2009_087_005743,dino30,0.0
DMy_b4,IFCB1_2009_087_005743,kiteflagellates,0.0
DMy_b4,IFCB1_2009_087_005743,mix,0.9812867681052536
DMy_b4,IFCB1_2009_087_005743,mix_elongated,0.0
DMy_b4,IFCB1_2009_087_005743,na,0.0
DMy_b4,IFCB1_2009_087_005743,pennate,0.0
DMy_b4,IFCB1_2009_087_005743,tintinnid,1.394108262370902e-09
DMy_b4,IFCB1_2009_067_183223,Asterionellopsis,0.0005150498534739
DMy_b4,IFCB1_2009_067_183223,Cerataulina,3.8800311719780204e-15
DMy_b4,IFCB1_2009_067_183223,Ceratium,0.0
DMy_b4,IFCB1_2009_067_183223,Chaetoceros,0.0081690716307108
DMy_b4,IFCB1_2009_067_183223,Corethron,9.575151565943484e-05
DMy_b4,IFCB1_2009_067_183223,Coscinodiscus,0.0002287211389405
DMy_b4,IFCB1_2009_067_183223,Cylindrotheca,0.0032546869150063
DMy_b4,IFCB1_2009_067_183223,DactFragCerataul,3.643224227627485e-15
DMy_b4,IFCB1_2009_067_183223,Dactyliosolen,5.166971290937177e-15
DMy_b4,IFCB1_2009_067_183223,Dictyocha,0.0
DMy_b4,IFCB1_2009_067_183223,Dinobryon,5.626380249110206e-05
DMy_b4,IFCB1_2009_067_183223,Dinophysis,3.4875501191859358e-15
DMy_b4,IFCB1_2009_067_183223,Ditylum,1.0815543584326133e-15
DMy_b4,IFCB1_2009_067_183223,Ephemera,1.0578531136659226e-16
DMy_b4,IFCB1_2009_067_183223,Eucampia,0.0
DMy_b4,IFCB1_2009_067_183223,Euglena,4.665018615744261e-15
DMy_b4,IFCB1_2009_067_183223,Gonyaulax,0.0
DMy_b4,IFCB1_2009_067_183223,Guinardia,0.0325420904004242
DMy_b4,IFCB1_2009_067_183223,Guinardia_flaccida,0.0
DMy_b4,IFCB1_2009_067_183223,Guinardia_striata,0.0
DMy_b4,IFCB1_2009_067_183223,Gyrodinium,0.0003540190254807
DMy_b4,IFCB1_2009_067_183223,Laboea,0.0
DMy_b4,IFCB1_2009_067_183223,Lauderia,0.0
DMy_b4,IFCB1_2009_067_183223,Leptocylindrus,6.121342781185756e-15
DMy_b4,IFCB1_2009_067_183223,Licmophora,0.0
DMy_b4,IFCB1_2009_067_183223,Myrionecta,0.0009644906962852
DMy_b4,IFCB1_2009_067_183223,Odontella,0.0
DMy_b4,IFCB1_2009_067_183223,Paralia,8.76749795328451e-05
DMy_b4,IFCB1_2009_067_183223,Phaeocystis,0.0008755922899345
DMy_b4,IFCB1_2009_067_183223,Pleurosigma,0.0002962107597438
DMy_b4,IFCB1_2009_067_183223,Prorocentrum,3.3018894379112503e-15
DMy_b4,IFCB1_2009_067_183223,Pseudonitzschia,4.52534431070524e-15
DMy_b4,IFCB1_2009_067_183223,Pyramimonas,1.0245069429841696e-15
DMy_b4,IFCB1_2009_067_183223,Rhizosolenia,3.628806624585752e-15
DMy_b4,IFCB1_2009_067_183223,Skeletonema,4.97402706821674e-15
DMy_b4,IFCB1_2009_067_183223,Stephanopyxis,0.0
DMy_b4,IFCB1_2009_067_183223,Thalassionema,2.6707622576474876e-16
DMy_b4,IFCB1_2009_067_183223,Thalassiosira,0.0050903014829739
DMy_b4,IFCB1_2009_067_183223,Thalassiosira_dirty,3.254110985203053e-15
DMy_b4,IFCB1_2009_067_183223,bad,5.297158439827295e-15
DMy_b4,IFCB1_2009_067_183223,ciliate_mix,0.0039773925142652
DMy_b4,IFCB1_2009_067_183223,clusterflagellate,2.9167268008126866e-15
DMy_b4,IFCB1_2009_067_183223,detritus,6.970317561858268e-15
DMy_b4,IFCB1_2009_067_183223,dino30,1.25675581496085e-14
DMy_b4,IFCB1_2009_067_183223,kiteflagellates,8.618291988646932e-16
DMy_b4,IFCB1_2009_067_183223,mix,0.9428136892386482
DMy_b4,IFCB1_2009_067_183223,mix_elongated,4.637033633301811e-15
DMy_b4,IFCB1_2009_067_183223,na,3.5965436852060465e-15
DMy_b4,IFCB1_2009_067_183223,pennate,0.0006789937565053
DMy_b4,IFCB1_2009_067_183223,tintinnid,0.0
DMy_b4,IFCB5_2010_239_191241,Asterionellopsis,0.0055140535922389
DMy_b4,IFCB5_2010_239_191241,Cerataulina,3.7261267686130986e-11
DMy_b4,IFCB5_2010_239_191241,Ceratium,7.338799041643926e-10
DMy_b4,IFCB5_2010_239_191241,Chaetoceros,0.0168328441701035
DMy_b4,IFCB5_2010_239_191241,Corethron,3.221165280596391e-11
DMy_b4,IFCB5_2010_239_191241,Coscinodiscus,0.0006762022891679
DMy_b4,IFCB5_2010_239_191241,Cylindrotheca,1.998504792737433e-11
DMy_b4,IFCB5_2010_239_191241,DactFragCerataul,5.6205521556443356e-11
DMy_b4,IFCB5_2010_239_191241,Dactyliosolen,0.0016754939660782
DMy_b4,IFCB5_2010_239_191241,Dictyocha,7.340083123300801e-11
DMy_b4,IFCB5_2010_239_191241,Dinobryon,3.472319144780072e-11
DMy_b4,IFCB5_2010_239_191241,Dinophysis,1.966944733059498e-11
DMy_b4,IFCB5_2010_239_191241,Ditylum,1.0169278398483693e-10
DMy_b4,IFCB5_2010_239_191241,Ephemera,6.775249226363484e-10
DMy_b4,IFCB5_2010_239_191241,Eucampia,3.361925611256323e-11
DMy_b4,IFCB5_2010_239_191241,Euglena,1.2913541725561296e-08
DMy_b4,IFCB5_2010_239_191241,Gonyaulax,2.787668538695728e-11
DMy_b4,IFCB5_2010_239_191241,Guinardia,3.6810189375914814e-11
DMy_b4,IFCB5_2010_239_191241,Guinardia_flaccida,2.0430163288369535e-11
DMy_b4,IFCB5_2010_239_191241,Guinardia_striata,1.4079058939853686e-11
DMy_b4,IFCB5_2010_239_191241,Gyrodinium,1.0242063303253923e-10
DMy_b4,IFCB5_2010_239_191241,Laboea,5.054718587600627e-10
DMy_b4,IFCB5_2010_239_191241,Lauderia,5.05887522175313e-10
DMy_b4,IFCB5_2010_239_191241,Leptocylindrus,0.0240154907555632
DMy_b4,IFCB5_2010_239_191241,Licmophora,2.9002837284365965e-10
DMy_b4,IFCB5_2010_239_191241,Myrionecta,8.205505100932079e-11
DMy_b4,IFCB5_2010_239_191241,Odontella,1.6858265938416915e-11
DMy_b4,IFCB5_2010_239_191241,Paralia,2.427883861056276e-11
DMy_b4,IFCB5_2010_239_191241,Phaeocystis,1.5308847506972482e-08
DMy_b4,IFCB5_2010_239_191241,Pleurosigma,8.281952211544368e-11
DMy_b4,IFCB5_2010_239_191241,Prorocentrum,0.0001652023733741
DMy_b4,IFCB5_2010_239_191241,Pseudonitzschia,1.9973286527889865e-11
DMy_b4,IFCB5_2010_239_191241,Pyramimonas,1.9925083032262446e-10
DMy_b4,IFCB5_2010_239_191241,Rhizosolenia,2.0892631049663384e-06
DMy_b4,IFCB5_2010_239_191241,Skeletonema,0.0006755882267369
DMy_b4,IFCB5_2010_239_191241,Stephanopyxis,2.7801926205768884e-11
DMy_b4,IFCB5_2010_239_191241,Thalassionema,3.66662700835354e-11
DMy_b4,IFCB5_2010_239_191241,Thalassiosira,1.5642120631197028e-08
DMy_b4,IFCB5_2010_239_191241,Thalassiosira_dirty,9.345472614677735e-10
DMy_b4,IFCB5_2010_239_191241,bad,3.7593715534525626e-11
DMy_b4,IFCB5_2010_239_191241,ciliate_mix,6.658772300205273e-06
DMy_b4,IFCB5_2010_239_191241,clusterflagellate,1.961031931135393e-11
DMy_b4,IFCB5_2010_239_191241,detritus,0.5680914437710564
DMy_b4,IFCB5_2010_239_191241,dino30,0.0066010864516203
DMy_b4,IFCB5_2010_239_191241,kiteflagellates,1.2186659440037266e-10
DMy_b4,IFCB5_2010_239_191241,mix,0.3757446046693732
DMy_b4,IFCB5_2010_239_191241,mix_elongated,3.808692284464856e-11
DMy_b4,IFCB5_2010_239_191241,na,3.6772219528769126e-11
DMy_b4,IFCB5_2010_239_191241,pennate,3.648919322004818e-11
DMy_b4,IFCB5_2010_239_191241,tintinnid,3.5828510207821426e-10
DMy_b4,IFCB1_2009_022_002654,Asterionellopsis,0.0169886937488039
DMy_b4,IFCB1_2009_022_002654,Cerataulina,0.0
DMy_b4,IFCB1_2009_022_002654,Ceratium,2.1732811795816944e-09
DMy_b4,IFCB1_2009_022_002654,Chaetoceros,0.032628985666993
DMy_b4,IFCB1_2009_022_002654,Corethron,0.0024471055200755
DMy_b4,IFCB1_2009_022_002654,Coscinodiscus,0.0
DMy_b4,IFCB1_2009_022_002654,Cylindrotheca,0.0015300354421657
DMy_b4,IFCB1_2009_022_002654,DactFragCerataul,0.0003259832639536
DMy_b4,IFCB1_2009_022_002654,Dactyliosolen,0.0012051906758466
DMy_b4,IFCB1_2009_022_002654,Dictyocha,0.0014979275178048
DMy_b4,IFCB1_2009_022_002654,Dinobryon,0.0089368161051505
DMy_b4,IFCB1_2009_022_002654,Dinophysis,0.0
DMy_b4,IFCB1_2009_022_002654,Ditylum,0.0030933802020634
DMy_b4,IFCB1_2009_022_002654,Ephemera,0.0
DMy_b4,IFCB1_2009_022_002654,Eucampia,0.0
DMy_b4,IFCB1_2009_022_002654,Euglena,0.0
DMy_b4,IFCB1_2009_022_002654,Gonyaulax,0.0005412147062392
DMy_b4,IFCB1_2009_022_002654,Guinardia,0.0294125291735894
DMy_b4,IFCB1_2009_022_002654,Guinardia_flaccida,0.0023722472457688
DMy_b4,IFCB1_2009_022_002654,Guinardia_striata,0.0
DMy_b4,IFCB1_2009_022_002654,Gyrodinium,0.0025948620686415
DMy_b4,IFCB1_2009_022_002654,Laboea,0.0
DMy_b4,IFCB1_2009_022_002654,Lauderia,0.0
DMy_b4,IFCB1_2009_022_002654,Leptocylindrus,0.1663265488416355
DMy_b4,IFCB1_2009_022_002654,Licmophora,0.0
DMy_b4,IFCB1_2009_022_002654,Myrionecta,0.0
