method,sample,class,y_pred
PACC,IFCB1_2009_087_005743,Asterionellopsis,8.282546861678882e-19
PACC,IFCB1_2009_087_005743,Cerataulina,0.0
PACC,IFCB1_2009_087_005743,Ceratium,2.6161375119885443e-17
PACC,IFCB1_2009_087_005743,Chaetoceros,0.0
PACC,IFCB1_2009_087_005743,Corethron,0.0
PACC,IFCB1_2009_087_005743,Coscinodiscus,8.714807423172554e-17
PACC,IFCB1_2009_087_005743,Cylindrotheca,0.0
PACC,IFCB1_2009_087_005743,DactFragCerataul,0.0
PACC,IFCB1_2009_087_005743,Dactyliosolen,3.6260384497279907e-17
PACC,IFCB1_2009_087_005743,Dictyocha,3.8024748964728296e-16
PACC,IFCB1_2009_087_005743,Dinobryon,0.0
PACC,IFCB1_2009_087_005743,Dinophysis,0.0
PACC,IFCB1_2009_087_005743,Ditylum,0.0
PACC,IFCB1_2009_087_005743,Ephemera,5.999808222446962e-16
PACC,IFCB1_2009_087_005743,Eucampia,2.873267642573386e-17
PACC,IFCB1_2009_087_005743,Euglena,1.3422675435503449e-15
PACC,IFCB1_2009_087_005743,Gonyaulax,1.509480010276834e-17
PACC,IFCB1_2009_087_005743,Guinardia,9.096040744399112e-16
PACC,IFCB1_2009_087_005743,Guinardia_flaccida,0.0
PACC,IFCB1_2009_087_005743,Guinardia_striata,0.0
PACC,IFCB1_2009_087_005743,Gyrodinium,0.0
PACC,IFCB1_2009_087_005743,Laboea,0.0
PACC,IFCB1_2009_087_005743,Lauderia,0.0
PACC,IFCB1_2009_087_005743,Leptocylindrus,0.0005287932941156
PACC,IFCB1_2009_087_005743,Licmophora,0.0
PACC,IFCB1_2009_087_005743,Myrionecta,0.0
PACC,IFCB1_2009_087_005743,Odontella,0.0
PACC,IFCB1_2009_087_005743,Paralia,3.0388560315445917e-16
PACC,IFCB1_2009_087_005743,Phaeocystis,0.0
PACC,IFCB1_2009_087_005743,Pleurosigma,7.985453859958371e-18
PACC,IFCB1_2009_087_005743,Prorocentrum,0.0
PACC,IFCB1_2009_087_005743,Pseudonitzschia,2.104372397474969e-17
PACC,IFCB1_2009_087_005743,Pyramimonas,3.2947073472446243e-17
PACC,IFCB1_2009_087_005743,Rhizosolenia,0.0
PACC,IFCB1_2009_087_005743,Skeletonema,2.400558936393068e-16
PACC,IFCB1_2009_087_005743,Stephanopyxis,1.7297682845901742e-18
PACC,IFCB1_2009_087_005743,Thalassionema,1.5640851656682055e-16
PACC,IFCB1_2009_087_005743,Thalassiosira,3.2180656791019716e-17
PACC,IFCB1_2009_087_005743,Thalassiosira_dirty,6.1590724511108e-17
PACC,IFCB1_2009_087_005743,bad,0.0
PACC,IFCB1_2009_087_005743,ciliate_mix,3.7777227295520025e-17
PACC,IFCB1_2009_087_005743,clusterflagellate,2.172255791240461e-18
PACC,IFCB1_2009_087_005743,detritus,0.0
PACC,IFCB1_2009_087_005743,dino30,4.894955392729824e-18
PACC,IFCB1_2009_087_005743,kiteflagellates,0.0
PACC,IFCB1_2009_087_005743,mix,0.99947120670588
PACC,IFCB1_2009_087_005743,mix_elongated,7.245309269269717e-17
PACC,IFCB1_2009_087_005743,na,3.1287480588740745e-17
PACC,IFCB1_2009_087_005743,pennate,0.0
PACC,IFCB1_2009_087_005743,tintinnid,3.486921078344126e-18
PACC,IFCB1_2009_067_183223,Asterionellopsis,4.7271667547852565e-17
PACC,IFCB1_2009_067_183223,Cerataulina,1.2986603117440664e-17
PACC,IFCB1_2009_067_183223,Ceratium,4.730636838541961e-17
PACC,IFCB1_2009_067_183223,Chaetoceros,0.0010064772755054
PACC,IFCB1_2009_067_183223,Corethron,3.1736972098376826e-17
PACC,IFCB1_2009_067_183223,Coscinodiscus,5.0113913306032676e-17
PACC,IFCB1_2009_067_183223,Cylindrotheca,0.0011501223584086
PACC,IFCB1_2009_067_183223,DactFragCerataul,5.607821113284039e-17
