method,sample,class,y_pred
PCC,IFCB1_2009_087_005743,Asterionellopsis,1.4372864518618023e-06
PCC,IFCB1_2009_087_005743,Cerataulina,0.0001961929261448
PCC,IFCB1_2009_087_005743,Ceratium,7.78393944778823e-07
PCC,IFCB1_2009_087_005743,Chaetoceros,0.0007936271317832
PCC,IFCB1_2009_087_005743,Corethron,5.006116780344132e-05
PCC,IFCB1_2009_087_005743,Coscinodiscus,5.738108516319093e-07
PCC,IFCB1_2009_087_005743,Cylindrotheca,0.0086365201707928
PCC,IFCB1_2009_087_005743,DactFragCerataul,0.0001944761711846
PCC,IFCB1_2009_087_005743,Dactyliosolen,3.319410367014867e-05
PCC,IFCB1_2009_087_005743,Dictyocha,5.350900157898618e-06
PCC,IFCB1_2009_087_005743,Dinobryon,0.0024592463513477
PCC,IFCB1_2009_087_005743,Dinophysis,9.007377223492338e-06
PCC,IFCB1_2009_087_005743,Ditylum,9.521344716178615e-06
PCC,IFCB1_2009_087_005743,Ephemera,4.444146654525596e-06
PCC,IFCB1_2009_087_005743,Eucampia,1.776173386715848e-05
PCC,IFCB1_2009_087_005743,Euglena,2.781397072639565e-06
PCC,IFCB1_2009_087_005743,Gonyaulax,5.677773565315112e-07
PCC,IFCB1_2009_087_005743,Guinardia,1.9062729012874444e-06
PCC,IFCB1_2009_087_005743,Guinardia_flaccida,2.1732369908288064e-06
PCC,IFCB1_2009_087_005743,Guinardia_striata,1.0580282960392236e-05
PCC,IFCB1_2009_087_005743,Gyrodinium,2.086273740858973e-06
PCC,IFCB1_2009_087_005743,Laboea,8.390519983480849e-07
PCC,IFCB1_2009_087_005743,Lauderia,1.165117535732381e-07
PCC,IFCB1_2009_087_005743,Leptocylindrus,0.0117783134324745
PCC,IFCB1_2009_087_005743,Licmophora,5.668661421073781e-07
PCC,IFCB1_2009_087_005743,Myrionecta,1.5500464350805126e-05
PCC,IFCB1_2009_087_005743,Odontella,4.744916710403425e-07
PCC,IFCB1_2009_087_005743,Paralia,1.8461966018272916e-06
PCC,IFCB1_2009_087_005743,Phaeocystis,1.008596329825963e-06
PCC,IFCB1_2009_087_005743,Pleurosigma,9.86782991307694e-07
PCC,IFCB1_2009_087_005743,Prorocentrum,3.635731349771624e-06
PCC,IFCB1_2009_087_005743,Pseudonitzschia,1.219455628724841e-05
PCC,IFCB1_2009_087_005743,Pyramimonas,8.50398805678955e-06
PCC,IFCB1_2009_087_005743,Rhizosolenia,0.000217547345704
PCC,IFCB1_2009_087_005743,Skeletonema,0.0001949760489682
PCC,IFCB1_2009_087_005743,Stephanopyxis,8.716191106015753e-07
PCC,IFCB1_2009_087_005743,Thalassionema,1.3292807910220269e-06
PCC,IFCB1_2009_087_005743,Thalassiosira,0.0008533321634241
PCC,IFCB1_2009_087_005743,Thalassiosira_dirty,3.8112793491603897e-06
PCC,IFCB1_2009_087_005743,bad,6.768123747944589e-06
PCC,IFCB1_2009_087_005743,ciliate_mix,0.0025235871996617
PCC,IFCB1_2009_087_005743,clusterflagellate,8.684341573120291e-06
PCC,IFCB1_2009_087_005743,detritus,0.0139232284322893
PCC,IFCB1_2009_087_005743,dino30,0.0043570413203963
PCC,IFCB1_2009_087_005743,kiteflagellates,1.7095057654667803e-06
PCC,IFCB1_2009_087_005743,mix,0.9478131186437772
PCC,IFCB1_2009_087_005743,mix_elongated,0.0050503293398651
PCC,IFCB1_2009_087_005743,na,0.0001268487948172
PCC,IFCB1_2009_087_005743,pennate,0.0006543046106741
PCC,IFCB1_2009_087_005743,tintinnid,6.2370224609399045e-06
PCC,IFCB1_2009_067_183223,Asterionellopsis,0.0015720114722555
PCC,IFCB1_2009_067_183223,Cerataulina,0.0001884070279519
PCC,IFCB1_2009_067_183223,Ceratium,6.59747221374309e-07
PCC,IFCB1_2009_067_183223,Chaetoceros,0.0078551088037239
PCC,IFCB1_2009_067_183223,Corethron,0.0004244063087259
PCC,IFCB1_2009_067_183223,Coscinodiscus,0.0003093954384922
PCC,IFCB1_2009_067_183223,Cylindrotheca,0.0031902691405681
PCC,IFCB1_2009_067_183223,DactFragCerataul,0.0002157517008635
PCC,IFCB1_2009_067_183223,Dactyliosolen,0.0001949687166175
PCC,IFCB1_2009_067_183223,Dictyocha,5.64762263372517e-06
PCC,IFCB1_2009_067_183223,Dinobryon,0.0002939541006483
PCC,IFCB1_2009_067_183223,Dinophysis,5.7416381284639706e-05
PCC,IFCB1_2009_067_183223,Ditylum,0.0001890670925778
PCC,IFCB1_2009_067_183223,Ephemera,0.0001440944640339
PCC,IFCB1_2009_067_183223,Eucampia,1.7324907192761205e-05
PCC,IFCB1_2009_067_183223,Euglena,7.121984931526292e-05
PCC,IFCB1_2009_067_183223,Gonyaulax,1.9366020650160276e-05
PCC,IFCB1_2009_067_183223,Guinardia,0.0272365254243267
PCC,IFCB1_2009_067_183223,Guinardia_flaccida,1.0050669541000496e-05
PCC,IFCB1_2009_067_183223,Guinardia_striata,7.641662573280663e-06
PCC,IFCB1_2009_067_183223,Gyrodinium,0.0004535581707919
PCC,IFCB1_2009_067_183223,Laboea,8.507684271768132e-07
PCC,IFCB1_2009_067_183223,Lauderia,2.10518276528843e-07
PCC,IFCB1_2009_067_183223,Leptocylindrus,0.0044092878698995
PCC,IFCB1_2009_067_183223,Licmophora,2.259772261427601e-06
PCC,IFCB1_2009_067_183223,Myrionecta,0.0011722174929082
PCC,IFCB1_2009_067_183223,Odontella,5.288617676046982e-07
PCC,IFCB1_2009_067_183223,Paralia,0.0004078663045318
PCC,IFCB1_2009_067_183223,Phaeocystis,0.0009326874616139
PCC,IFCB1_2009_067_183223,Pleurosigma,0.0006243504976704
PCC,IFCB1_2009_067_183223,Prorocentrum,5.22140908189207e-05
PCC,IFCB1_2009_067_183223,Pseudonitzschia,0.0002740934496849
PCC,IFCB1_2009_067_183223,Pyramimonas,6.131321542652302e-05
PCC,IFCB1_2009_067_183223,Rhizosolenia,0.0012545570373563
PCC,IFCB1_2009_067_183223,Skeletonema,0.0002680060729769
PCC,IFCB1_2009_067_183223,Stephanopyxis,5.401075443537463e-07
PCC,IFCB1_2009_067_183223,Thalassionema,3.741568671849292e-05
PCC,IFCB1_2009_067_183223,Thalassiosira,0.0063205150306235
PCC,IFCB1_2009_067_183223,Thalassiosira_dirty,0.0001604449144647
PCC,IFCB1_2009_067_183223,bad,6.721094418759728e-05
PCC,IFCB1_2009_067_183223,ciliate_mix,0.0041351398388716
PCC,IFCB1_2009_067_183223,clusterflagellate,2.153560758166495e-05
PCC,IFCB1_2009_067_183223,detritus,0.0175623031924593
PCC,IFCB1_2009_067_183223,dino30,0.0138215780751954
PCC,IFCB1_2009_067_183223,kiteflagellates,1.6382998339094103e-06
PCC,IFCB1_2009_067_183223,mix,0.9015134579720876
PCC,IFCB1_2009_067_183223,mix_elongated,0.0018995874483392
PCC,IFCB1_2009_067_183223,na,0.001598408971443
PCC,IFCB1_2009_067_183223,pennate,0.0007921330993067
PCC,IFCB1_2009_067_183223,tintinnid,0.000150802675732
PCC,IFCB5_2010_239_191241,Asterionellopsis,0.0091967743350012
PCC,IFCB5_2010_239_191241,Cerataulina,0.0011121053340064
PCC,IFCB5_2010_239_191241,Ceratium,1.1758693285530436e-05
PCC,IFCB5_2010_239_191241,Chaetoceros,0.0323433081744263
PCC,IFCB5_2010_239_191241,Corethron,3.983378575984432e-06
PCC,IFCB5_2010_239_191241,Coscinodiscus,0.0015563428488181
PCC,IFCB5_2010_239_191241,Cylindrotheca,0.002404344546755
PCC,IFCB5_2010_239_191241,DactFragCerataul,0.0002919829463203
PCC,IFCB5_2010_239_191241,Dactyliosolen,0.0041816007872521
PCC,IFCB5_2010_239_191241,Dictyocha,7.44796851092563e-05
PCC,IFCB5_2010_239_191241,Dinobryon,3.645176381298543e-05
PCC,IFCB5_2010_239_191241,Dinophysis,2.990873193286212e-05
PCC,IFCB5_2010_239_191241,Ditylum,0.0007686968438844
PCC,IFCB5_2010_239_191241,Ephemera,4.642723331497457e-06
PCC,IFCB5_2010_239_191241,Eucampia,0.0001883286945839
PCC,IFCB5_2010_239_191241,Euglena,0.0028791141553889
PCC,IFCB5_2010_239_191241,Gonyaulax,0.0001988478225026
PCC,IFCB5_2010_239_191241,Guinardia,0.0007457957323865
PCC,IFCB5_2010_239_191241,Guinardia_flaccida,1.026865125068816e-05
PCC,IFCB5_2010_239_191241,Guinardia_striata,8.793749254234333e-06
PCC,IFCB5_2010_239_191241,Gyrodinium,3.709309880032823e-05
PCC,IFCB5_2010_239_191241,Laboea,9.407970706700084e-07
PCC,IFCB5_2010_239_191241,Lauderia,1.5434700493584159e-07
PCC,IFCB5_2010_239_191241,Leptocylindrus,0.0278792452863797
PCC,IFCB5_2010_239_191241,Licmophora,4.797262778330446e-06
PCC,IFCB5_2010_239_191241,Myrionecta,3.8492430546673255e-05
PCC,IFCB5_2010_239_191241,Odontella,1.9098584716352626e-07
PCC,IFCB5_2010_239_191241,Paralia,2.235164270374324e-05
PCC,IFCB5_2010_239_191241,Phaeocystis,1.16992806942892e-06
PCC,IFCB5_2010_239_191241,Pleurosigma,5.173211711895917e-06
PCC,IFCB5_2010_239_191241,Prorocentrum,0.0048157593701988
PCC,IFCB5_2010_239_191241,Pseudonitzschia,0.00360530214715
PCC,IFCB5_2010_239_191241,Pyramimonas,0.000756338732318
PCC,IFCB5_2010_239_191241,Rhizosolenia,0.0008396191040317
PCC,IFCB5_2010_239_191241,Skeletonema,0.0023454314560128
PCC,IFCB5_2010_239_191241,Stephanopyxis,2.7791226091186604e-07
PCC,IFCB5_2010_239_191241,Thalassionema,8.500597448326492e-05
PCC,IFCB5_2010_239_191241,Thalassiosira,0.0039307338722293
PCC,IFCB5_2010_239_191241,Thalassiosira_dirty,0.0003011888709873
PCC,IFCB5_2010_239_191241,bad,0.0006281114476032
PCC,IFCB5_2010_239_191241,ciliate_mix,0.0079370556388279
PCC,IFCB5_2010_239_191241,clusterflagellate,2.21583181213248e-05
PCC,IFCB5_2010_239_191241,detritus,0.4126056750234427
PCC,IFCB5_2010_239_191241,dino30,0.0159245448331937
PCC,IFCB5_2010_239_191241,kiteflagellates,0.0003623285065687
PCC,IFCB5_2010_239_191241,mix,0.4455391107472192
PCC,IFCB5_2010_239_191241,mix_elongated,0.009336781874323
PCC,IFCB5_2010_239_191241,na,0.0054844997442501
PCC,IFCB5_2010_239_191241,pennate,0.001440956281133
PCC,IFCB5_2010_239_191241,tintinnid,1.981556851981887e-06
PCC,IFCB1_2009_022_002654,Asterionellopsis,0.0076347835622572
PCC,IFCB1_2009_022_002654,Cerataulina,0.0010484696433352
PCC,IFCB1_2009_022_002654,Ceratium,7.950933652666068e-05
PCC,IFCB1_2009_022_002654,Chaetoceros,0.0289307165128086
PCC,IFCB1_2009_022_002654,Corethron,0.0029177443206636
PCC,IFCB1_2009_022_002654,Coscinodiscus,6.4869198176220905e-06
PCC,IFCB1_2009_022_002654,Cylindrotheca,0.0043415874489457
PCC,IFCB1_2009_022_002654,DactFragCerataul,0.004169391422686
PCC,IFCB1_2009_022_002654,Dactyliosolen,0.00148288466212
PCC,IFCB1_2009_022_002654,Dictyocha,0.0020987438741651
PCC,IFCB1_2009_022_002654,Dinobryon,0.0085622268816106
PCC,IFCB1_2009_022_002654,Dinophysis,5.839825047994418e-05
PCC,IFCB1_2009_022_002654,Ditylum,0.0057103179881636
PCC,IFCB1_2009_022_002654,Ephemera,8.975730159273112e-05
PCC,IFCB1_2009_022_002654,Eucampia,0.0012323918441275
PCC,IFCB1_2009_022_002654,Euglena,0.0005181977878992
PCC,IFCB1_2009_022_002654,Gonyaulax,0.0011724439356619
PCC,IFCB1_2009_022_002654,Guinardia,0.0262330157473382
PCC,IFCB1_2009_022_002654,Guinardia_flaccida,0.0021170569796544
PCC,IFCB1_2009_022_002654,Guinardia_striata,0.000193246780015
PCC,IFCB1_2009_022_002654,Gyrodinium,0.002455322297012
PCC,IFCB1_2009_022_002654,Laboea,2.4745212501615786e-05
PCC,IFCB1_2009_022_002654,Lauderia,9.88323725742549e-06
PCC,IFCB1_2009_022_002654,Leptocylindrus,0.1095593630444822
PCC,IFCB1_2009_022_002654,Licmophora,1.334512646301628e-06
PCC,IFCB1_2009_022_002654,Myrionecta,0.0004116330275472
PCC,IFCB1_2009_022_002654,Odontella,1.6396139394164973e-05
PCC,IFCB1_2009_022_002654,Paralia,0.0006088240987682
PCC,IFCB1_2009_022_002654,Phaeocystis,0.0010737036276344
PCC,IFCB1_2009_022_002654,Pleurosigma,0.0023966200356481
PCC,IFCB1_2009_022_002654,Prorocentrum,0.0003983569950471
PCC,IFCB1_2009_022_002654,Pseudonitzschia,0.0040169579363172
PCC,IFCB1_2009_022_002654,Pyramimonas,0.000219335430919
PCC,IFCB1_2009_022_002654,Rhizosolenia,0.0141936570970476
PCC,IFCB1_2009_022_002654,Skeletonema,0.0135289373011626
PCC,IFCB1_2009_022_002654,Stephanopyxis,6.297083905569341e-07
PCC,IFCB1_2009_022_002654,Thalassionema,0.0009668562810393
PCC,IFCB1_2009_022_002654,Thalassiosira,0.0136483458655131
PCC,IFCB1_2009_022_002654,Thalassiosira_dirty,0.0071737815310883
PCC,IFCB1_2009_022_002654,bad,4.499219172206992e-05
PCC,IFCB1_2009_022_002654,ciliate_mix,0.0055976193271736
PCC,IFCB1_2009_022_002654,clusterflagellate,1.8636378875566343e-05
PCC,IFCB1_2009_022_002654,detritus,0.1002331481378139
PCC,IFCB1_2009_022_002654,dino30,0.0074883615082897
PCC,IFCB1_2009_022_002654,kiteflagellates,1.933738523524933e-06
