method,sample,class,y_pred
DMy_b4,IFCB1_2009_087_005743,Ciliate,0.0019697679181461
DMy_b4,IFCB1_2009_087_005743,Diatom,0.0252390405940429
DMy_b4,IFCB1_2009_087_005743,Dinoflagellata,4.965040747166793e-16
DMy_b4,IFCB1_2009_087_005743,Flagellate,0.9727911914878102
DMy_b4,IFCB1_2009_087_005743,Other,9.13068111040768e-17
DMy_b4,IFCB1_2009_067_183223,Ciliate,0.0042767342960437
DMy_b4,IFCB1_2009_067_183223,Diatom,0.0570241043745283
DMy_b4,IFCB1_2009_067_183223,Dinoflagellata,0.0092416056207659
DMy_b4,IFCB1_2009_067_183223,Flagellate,0.929457555708662
DMy_b4,IFCB1_2009_067_183223,Other,4.493832837008639e-17
DMy_b4,IFCB5_2010_239_191241,Ciliate,0.0050157989556039
DMy_b4,IFCB5_2010_239_191241,Diatom,0.1367378840400034
DMy_b4,IFCB5_2010_239_191241,Dinoflagellata,0.0334405594675993
DMy_b4,IFCB5_2010_239_191241,Flagellate,0.2930769798599393
DMy_b4,IFCB5_2010_239_191241,Other,0.5317287776768541
DMy_b4,IFCB1_2009_022_002654,Ciliate,0.0090775346961393
DMy_b4,IFCB1_2009_022_002654,Diatom,0.3272602860258158
DMy_b4,IFCB1_2009_022_002654,Dinoflagellata,0.0045422529950052
DMy_b4,IFCB1_2009_022_002654,Flagellate,0.5728725251211023
DMy_b4,IFCB1_2009_022_002654,Other,0.0862474011619373
DMy_b4,IFCB5_2011_188_154936,Ciliate,0.002466765823138
DMy_b4,IFCB5_2011_188_154936,Diatom,0.1118258276629241
DMy_b4,IFCB5_2011_188_154936,Dinoflagellata,1.1808650430305732e-14
DMy_b4,IFCB5_2011_188_154936,Flagellate,0.6016567972622341
DMy_b4,IFCB5_2011_188_154936,Other,0.2840506092516921
DMy_b4,IFCB1_2011_255_201526,Ciliate,0.0024951102885187
DMy_b4,IFCB1_2011_255_201526,Diatom,0.0729040241336302
DMy_b4,IFCB1_2011_255_201526,Dinoflagellata,0.0024005373478961
DMy_b4,IFCB1_2011_255_201526,Flagellate,0.8762388551014276
DMy_b4,IFCB1_2011_255_201526,Other,0.0459614731285272
DMy_b4,IFCB5_2011_096_093323,Ciliate,0.0001428614566783
DMy_b4,IFCB5_2011_096_093323,Diatom,0.0161958395822929
DMy_b4,IFCB5_2011_096_093323,Dinoflagellata,1.2083530744806691e-10
DMy_b4,IFCB5_2011_096_093323,Flagellate,0.6283799970845838
DMy_b4,IFCB5_2011_096_093323,Other,0.3552813017556096
DMy_b4,IFCB5_2011_187_192331,Ciliate,0.0013344391242609
DMy_b4,IFCB5_2011_187_192331,Diatom,0.1026227518003039
DMy_b4,IFCB5_2011_187_192331,Dinoflagellata,2.0921075006453954e-09
DMy_b4,IFCB5_2011_187_192331,Flagellate,0.6341179346217443
DMy_b4,IFCB5_2011_187_192331,Other,0.2619248723615832
DMy_b4,IFCB1_2013_302_172158,Ciliate,0.0
DMy_b4,IFCB1_2013_302_172158,Diatom,0.1139003318125075
DMy_b4,IFCB1_2013_302_172158,Dinoflagellata,0.0
DMy_b4,IFCB1_2013_302_172158,Flagellate,0.8376962748578263
DMy_b4,IFCB1_2013_302_172158,Other,0.0484033933316814
DMy_b4,IFCB5_2011_326_190312,Ciliate,0.0015708750394298
DMy_b4,IFCB5_2011_326_190312,Diatom,0.0931247501022124
DMy_b4,IFCB5_2011_326_190312,Dinoflagellata,1.245378363016461e-13
DMy_b4,IFCB5_2011_326_190312,Flagellate,0.5218120475963257
DMy_b4,IFCB5_2011_326_190312,Other,0.3834923272619074
DMy_b4,IFCB5_2011_361_065809,Ciliate,6.469134896997092e-16
DMy_b4,IFCB5_2011_361_065809,Diatom,0.0832750305079419
DMy_b4,IFCB5_2011_361_065809,Dinoflagellata,2.9413398626808176e-16
DMy_b4,IFCB5_2011_361_065809,Flagellate,0.7420205925207045
DMy_b4,IFCB5_2011_361_065809,Other,0.1747043769713526
DMy_b4,IFCB5_2013_172_191550,Ciliate,0.0095402754427015
DMy_b4,IFCB5_2013_172_191550,Diatom,0.3212382404812131
DMy_b4,IFCB5_2013_172_191550,Dinoflagellata,0.0412583082018813
DMy_b4,IFCB5_2013_172_191550,Flagellate,0.5926504403018684
DMy_b4,IFCB5_2013_172_191550,Other,0.0353127355723355
DMy_b4,IFCB1_2009_133_183845,Ciliate,0.0060272906055655
DMy_b4,IFCB1_2009_133_183845,Diatom,0.0082990731960575
DMy_b4,IFCB1_2009_133_183845,Dinoflagellata,0.1025829295174496
DMy_b4,IFCB1_2009_133_183845,Flagellate,0.8169192783471114
DMy_b4,IFCB1_2009_133_183845,Other,0.0661714283338159
DMy_b4,IFCB1_2009_249_005006,Ciliate,0.0
DMy_b4,IFCB1_2009_249_005006,Diatom,0.0285515477913788
DMy_b4,IFCB1_2009_249_005006,Dinoflagellata,8.745268498067251e-17
DMy_b4,IFCB1_2009_249_005006,Flagellate,0.894613856743354
DMy_b4,IFCB1_2009_249_005006,Other,0.0768345954652681
DMy_b4,IFCB1_2013_001_075331,Ciliate,0.0065675807024584
DMy_b4,IFCB1_2013_001_075331,Diatom,0.2871994202348428
DMy_b4,IFCB1_2013_001_075331,Dinoflagellata,0.0125009103032341
DMy_b4,IFCB1_2013_001_075331,Flagellate,0.4547570703479118
DMy_b4,IFCB1_2013_001_075331,Other,0.2389750184115527
DMy_b4,IFCB5_2013_127_200102,Ciliate,0.0171502019239984
DMy_b4,IFCB5_2013_127_200102,Diatom,0.0162080168536205
DMy_b4,IFCB5_2013_127_200102,Dinoflagellata,0.0509603703661188
DMy_b4,IFCB5_2013_127_200102,Flagellate,0.8393450083995704
DMy_b4,IFCB5_2013_127_200102,Other,0.0763364024566918
DMy_b4,IFCB1_2012_122_212138,Ciliate,0.0016397380458559
DMy_b4,IFCB1_2012_122_212138,Diatom,0.1637448678536232
DMy_b4,IFCB1_2012_122_212138,Dinoflagellata,0.0041227908018376
DMy_b4,IFCB1_2012_122_212138,Flagellate,0.7404123538630577
DMy_b4,IFCB1_2012_122_212138,Other,0.0900802494356256
DMy_b4,IFCB1_2011_270_191038,Ciliate,0.0017634672587447
DMy_b4,IFCB1_2011_270_191038,Diatom,0.0929376802501193
DMy_b4,IFCB1_2011_270_191038,Dinoflagellata,0.0
DMy_b4,IFCB1_2011_270_191038,Flagellate,0.8984189506874105
DMy_b4,IFCB1_2011_270_191038,Other,0.0068799018037254
DMy_b4,IFCB5_2011_082_160706,Ciliate,0.0024817445934403
DMy_b4,IFCB5_2011_082_160706,Diatom,0.0206963893428961
DMy_b4,IFCB5_2011_082_160706,Dinoflagellata,0.0
DMy_b4,IFCB5_2011_082_160706,Flagellate,0.7130110154191048
DMy_b4,IFCB5_2011_082_160706,Other,0.2638108506445626
DMy_b4,IFCB1_2009_262_184307,Ciliate,0.0019869681881465
DMy_b4,IFCB1_2009_262_184307,Diatom,0.0387899544897417
DMy_b4,IFCB1_2009_262_184307,Dinoflagellata,0.0244760532913676
DMy_b4,IFCB1_2009_262_184307,Flagellate,0.6368195459787803
DMy_b4,IFCB1_2009_262_184307,Other,0.2979274780519637
DMy_b4,IFCB1_2011_260_221456,Ciliate,0.0049115297695445
DMy_b4,IFCB1_2011_260_221456,Diatom,0.1107908560843722
DMy_b4,IFCB1_2011_260_221456,Dinoflagellata,0.0056722933816674
DMy_b4,IFCB1_2011_260_221456,Flagellate,0.8314029162669246
DMy_b4,IFCB1_2011_260_221456,Other,0.0472224044974912
DMy_b4,IFCB1_2009_267_004410,Ciliate,0.0146600240448037
DMy_b4,IFCB1_2009_267_004410,Diatom,0.0721311033704375
DMy_b4,IFCB1_2009_267_004410,Dinoflagellata,0.0219200700799558
DMy_b4,IFCB1_2009_267_004410,Flagellate,0.8586571710257616
DMy_b4,IFCB1_2009_267_004410,Other,0.0326316314790413
DMy_b4,IFCB1_2009_294_145539,Ciliate,0.0033243842270793
DMy_b4,IFCB1_2009_294_145539,Diatom,0.0896409478919502
DMy_b4,IFCB1_2009_294_145539,Dinoflagellata,0.0
DMy_b4,IFCB1_2009_294_145539,Flagellate,0.8278561749108849
DMy_b4,IFCB1_2009_294_145539,Other,0.0791784929700856
DMy_b4,IFCB5_2013_352_094025,Ciliate,0.0047533192199039
DMy_b4,IFCB5_2013_352_094025,Diatom,0.1942297656135205
DMy_b4,IFCB5_2013_352_094025,Dinoflagellata,1.7118197050830508e-16
DMy_b4,IFCB5_2013_352_094025,Flagellate,0.6498891152741025
DMy_b4,IFCB5_2013_352_094025,Other,0.1511277998924728
DMy_b4,IFCB1_2009_095_000946,Ciliate,0.0001911448728351
DMy_b4,IFCB1_2009_095_000946,Diatom,0.0184374588812231
DMy_b4,IFCB1_2009_095_000946,Dinoflagellata,1.4174384537002498e-15
DMy_b4,IFCB1_2009_095_000946,Flagellate,0.9663749501173784
DMy_b4,IFCB1_2009_095_000946,Other,0.0149964461285618
DMy_b4,IFCB1_2012_269_201802,Ciliate,0.0080625408647142
DMy_b4,IFCB1_2012_269_201802,Diatom,0.0361895957380992
DMy_b4,IFCB1_2012_269_201802,Dinoflagellata,0.0256819292636932
DMy_b4,IFCB1_2012_269_201802,Flagellate,0.8986567024091607
DMy_b4,IFCB1_2012_269_201802,Other,0.0314092317243326
DMy_b4,IFCB1_2010_107_122604,Ciliate,0.0058089340723482
DMy_b4,IFCB1_2010_107_122604,Diatom,0.0919235448465006
DMy_b4,IFCB1_2010_107_122604,Dinoflagellata,0.0048592877785093
DMy_b4,IFCB1_2010_107_122604,Flagellate,0.7562597151644743
DMy_b4,IFCB1_2010_107_122604,Other,0.1411485181381675
DMy_b4,IFCB5_2013_119_184144,Ciliate,0.0047857716231507
DMy_b4,IFCB5_2013_119_184144,Diatom,0.0066930868858773
DMy_b4,IFCB5_2013_119_184144,Dinoflagellata,0.1353506752500305
DMy_b4,IFCB5_2013_119_184144,Flagellate,0.7881384572419532
DMy_b4,IFCB5_2013_119_184144,Other,0.0650320089989882
DMy_b4,IFCB5_2014_248_010423,Ciliate,0.0016770299195771
DMy_b4,IFCB5_2014_248_010423,Diatom,0.0602572221382025
DMy_b4,IFCB5_2014_248_010423,Dinoflagellata,6.352747104407254e-20
DMy_b4,IFCB5_2014_248_010423,Flagellate,0.8086821137247503
DMy_b4,IFCB5_2014_248_010423,Other,0.1293836342174698
DMy_b4,IFCB1_2009_249_185505,Ciliate,1.9254475932010736e-16
DMy_b4,IFCB1_2009_249_185505,Diatom,0.0363004737857461
DMy_b4,IFCB1_2009_249_185505,Dinoflagellata,0.0
DMy_b4,IFCB1_2009_249_185505,Flagellate,0.9234339320702448
DMy_b4,IFCB1_2009_249_185505,Other,0.0402655941440087
DMy_b4,IFCB5_2011_304_190824,Ciliate,0.0012743687705892
DMy_b4,IFCB5_2011_304_190824,Diatom,0.0218297329370477
DMy_b4,IFCB5_2011_304_190824,Dinoflagellata,8.853040133936178e-17
DMy_b4,IFCB5_2011_304_190824,Flagellate,0.6291305909028249
DMy_b4,IFCB5_2011_304_190824,Other,0.347765307389538
DMy_b4,IFCB1_2009_211_155709,Ciliate,0.000755893643782
DMy_b4,IFCB1_2009_211_155709,Diatom,0.1668059489131521
DMy_b4,IFCB1_2009_211_155709,Dinoflagellata,4.931391937596646e-16
DMy_b4,IFCB1_2009_211_155709,Flagellate,0.7901797159767463
DMy_b4,IFCB1_2009_211_155709,Other,0.042258441466319
DMy_b4,IFCB1_2009_087_001047,Ciliate,0.0
DMy_b4,IFCB1_2009_087_001047,Diatom,0.0238081713703298
DMy_b4,IFCB1_2009_087_001047,Dinoflagellata,0.0013241979883967
DMy_b4,IFCB1_2009_087_001047,Flagellate,0.9748676306413664
DMy_b4,IFCB1_2009_087_001047,Other,0.0
DMy_b4,IFCB5_2011_187_172725,Ciliate,0.0006416185375833
DMy_b4,IFCB5_2011_187_172725,Diatom,0.0726692025812856
DMy_b4,IFCB5_2011_187_172725,Dinoflagellata,0.0
DMy_b4,IFCB5_2011_187_172725,Flagellate,0.6503567429261773
DMy_b4,IFCB5_2011_187_172725,Other,0.2763324363507606
DMy_b4,IFCB5_2011_039_035551,Ciliate,0.0008629898032835
DMy_b4,IFCB5_2011_039_035551,Diatom,0.6953538933676
DMy_b4,IFCB5_2011_039_035551,Dinoflagellata,0.0
DMy_b4,IFCB5_2011_039_035551,Flagellate,0.1579055175429578
DMy_b4,IFCB5_2011_039_035551,Other,0.1458775992861588
DMy_b4,IFCB1_2009_095_004823,Ciliate,0.0009495288073251
DMy_b4,IFCB1_2009_095_004823,Diatom,0.0166877846744774
DMy_b4,IFCB1_2009_095_004823,Dinoflagellata,2.4865177327077284e-15
DMy_b4,IFCB1_2009_095_004823,Flagellate,0.9815682492792446
DMy_b4,IFCB1_2009_095_004823,Other,0.0007944372389503
DMy_b4,IFCB1_2013_045_184523,Ciliate,0.0782184688654353
DMy_b4,IFCB1_2013_045_184523,Diatom,0.4228089079052406
DMy_b4,IFCB1_2013_045_184523,Dinoflagellata,0.0588584564935093
DMy_b4,IFCB1_2013_045_184523,Flagellate,0.3871057020110239
DMy_b4,IFCB1_2013_045_184523,Other,0.0530084647247907
DMy_b4,IFCB1_2009_189_001612,Ciliate,0.0014737324742663
DMy_b4,IFCB1_2009_189_001612,Diatom,0.0349822755082745
DMy_b4,IFCB1_2009_189_001612,Dinoflagellata,0.0293379719658182
DMy_b4,IFCB1_2009_189_001612,Flagellate,0.7194712501344174
DMy_b4,IFCB1_2009_189_001612,Other,0.2147347699172235
DMy_b4,IFCB1_2009_111_004547,Ciliate,0.0
DMy_b4,IFCB1_2009_111_004547,Diatom,0.0073559134532488
DMy_b4,IFCB1_2009_111_004547,Dinoflagellata,0.0
DMy_b4,IFCB1_2009_111_004547,Flagellate,0.9876463219868252
DMy_b4,IFCB1_2009_111_004547,Other,0.0049977645599313
