method,sample,class,y_pred
PACC,IFCB1_2009_087_005743,Ciliate,3.8295090186648215e-16
PACC,IFCB1_2009_087_005743,Diatom,0.0079403012028085
PACC,IFCB1_2009_087_005743,Dinoflagellata,0.0
PACC,IFCB1_2009_087_005743,Flagellate,0.9920596987971912
PACC,IFCB1_2009_087_005743,Other,9.018843991008015e-17
PACC,IFCB1_2009_067_183223,Ciliate,0.0
PACC,IFCB1_2009_067_183223,Diatom,0.0508708759691205
PACC,IFCB1_2009_067_183223,Dinoflagellata,0.0054088088543966
PACC,IFCB1_2009_067_183223,Flagellate,0.9437203151764828
PACC,IFCB1_2009_067_183223,Other,0.0
PACC,IFCB5_2010_239_191241,Ciliate,0.0052000856699937
PACC,IFCB5_2010_239_191241,Diatom,0.1000096537102586
PACC,IFCB5_2010_239_191241,Dinoflagellata,0.0395660295829069
PACC,IFCB5_2010_239_191241,Flagellate,0.2844130374139155
PACC,IFCB5_2010_239_191241,Other,0.5708111936229251
PACC,IFCB1_2009_022_002654,Ciliate,0.0091309344436209
PACC,IFCB1_2009_022_002654,Diatom,0.3125266597021462
PACC,IFCB1_2009_022_002654,Dinoflagellata,0.005556042273301
PACC,IFCB1_2009_022_002654,Flagellate,0.5742256276788782
PACC,IFCB1_2009_022_002654,Other,0.0985607359020536
PACC,IFCB5_2011_188_154936,Ciliate,0.0069396472858537
PACC,IFCB5_2011_188_154936,Diatom,0.1403493828856395
PACC,IFCB5_2011_188_154936,Dinoflagellata,0.0030598168469579
PACC,IFCB5_2011_188_154936,Flagellate,0.4935314314402216
PACC,IFCB5_2011_188_154936,Other,0.3561197215413271
PACC,IFCB1_2011_255_201526,Ciliate,0.0032962082252847
PACC,IFCB1_2011_255_201526,Diatom,0.0638008846788237
PACC,IFCB1_2011_255_201526,Dinoflagellata,0.0064145436707438
PACC,IFCB1_2011_255_201526,Flagellate,0.8665998338602467
PACC,IFCB1_2011_255_201526,Other,0.059888529564901
PACC,IFCB5_2011_096_093323,Ciliate,0.0
PACC,IFCB5_2011_096_093323,Diatom,0.0095683918818382
PACC,IFCB5_2011_096_093323,Dinoflagellata,0.0
PACC,IFCB5_2011_096_093323,Flagellate,0.6020492183027538
PACC,IFCB5_2011_096_093323,Other,0.388382389815408
PACC,IFCB5_2011_187_192331,Ciliate,0.005585398646953
PACC,IFCB5_2011_187_192331,Diatom,0.1381686825428695
PACC,IFCB5_2011_187_192331,Dinoflagellata,0.0002014687539308
PACC,IFCB5_2011_187_192331,Flagellate,0.5178838523421211
PACC,IFCB5_2011_187_192331,Other,0.3381605977141256
PACC,IFCB1_2013_302_172158,Ciliate,1.155293573294016e-16
PACC,IFCB1_2013_302_172158,Diatom,0.1040268928298873
PACC,IFCB1_2013_302_172158,Dinoflagellata,0.0
PACC,IFCB1_2013_302_172158,Flagellate,0.8525241405516083
PACC,IFCB1_2013_302_172158,Other,0.0434489666185043
PACC,IFCB5_2011_326_190312,Ciliate,0.0018177240825846
PACC,IFCB5_2011_326_190312,Diatom,0.0694991452720956
PACC,IFCB5_2011_326_190312,Dinoflagellata,0.0002186865137055
PACC,IFCB5_2011_326_190312,Flagellate,0.4583021304159067
PACC,IFCB5_2011_326_190312,Other,0.4701623137157073
PACC,IFCB5_2011_361_065809,Ciliate,9.494800780517844e-18
PACC,IFCB5_2011_361_065809,Diatom,0.0650394346449404
PACC,IFCB5_2011_361_065809,Dinoflagellata,0.0007839082031549
PACC,IFCB5_2011_361_065809,Flagellate,0.7196247046160981
PACC,IFCB5_2011_361_065809,Other,0.2145519525358065
PACC,IFCB5_2013_172_191550,Ciliate,0.0095970983440546
PACC,IFCB5_2013_172_191550,Diatom,0.3017539512630468
PACC,IFCB5_2013_172_191550,Dinoflagellata,0.0542561768687023
PACC,IFCB5_2013_172_191550,Flagellate,0.5683884276471619
PACC,IFCB5_2013_172_191550,Other,0.0660043458770342
PACC,IFCB1_2009_133_183845,Ciliate,0.0063117170631582
PACC,IFCB1_2009_133_183845,Diatom,0.021254977888734
PACC,IFCB1_2009_133_183845,Dinoflagellata,0.0922571911718149
PACC,IFCB1_2009_133_183845,Flagellate,0.8291000950464964
PACC,IFCB1_2009_133_183845,Other,0.0510760188297964
PACC,IFCB1_2009_249_005006,Ciliate,2.741939577463541e-17
PACC,IFCB1_2009_249_005006,Diatom,0.0430238275436922
PACC,IFCB1_2009_249_005006,Dinoflagellata,1.9159484644825084e-16
PACC,IFCB1_2009_249_005006,Flagellate,0.8888443632632247
PACC,IFCB1_2009_249_005006,Other,0.0681318091930828
PACC,IFCB1_2013_001_075331,Ciliate,0.0066897175672065
PACC,IFCB1_2013_001_075331,Diatom,0.2680097694069305
PACC,IFCB1_2013_001_075331,Dinoflagellata,0.0198823183308233
PACC,IFCB1_2013_001_075331,Flagellate,0.4024128363844981
PACC,IFCB1_2013_001_075331,Other,0.3030053583105414
PACC,IFCB5_2013_127_200102,Ciliate,0.0166138222187568
PACC,IFCB5_2013_127_200102,Diatom,0.0302334015259796
PACC,IFCB5_2013_127_200102,Dinoflagellata,0.0572207593137691
PACC,IFCB5_2013_127_200102,Flagellate,0.7963045833906021
PACC,IFCB5_2013_127_200102,Other,0.0996274335508922
PACC,IFCB1_2012_122_212138,Ciliate,0.0011795453817656
PACC,IFCB1_2012_122_212138,Diatom,0.1370661997415532
