method,sample,class,y_pred
ACC,IFCB1_2009_087_005743,Amphidinium_sp,0.0
ACC,IFCB1_2009_087_005743,Asterionellopsis,0.0
ACC,IFCB1_2009_087_005743,Bidulphia,0.0
ACC,IFCB1_2009_087_005743,Cerataulina,5.607994108741572e-16
ACC,IFCB1_2009_087_005743,Cerataulina_flagellate,5.119857246081086e-16
ACC,IFCB1_2009_087_005743,Ceratium,3.034181031825161e-16
ACC,IFCB1_2009_087_005743,Chaetoceros,0.0
ACC,IFCB1_2009_087_005743,Chaetoceros_didymus,0.0
ACC,IFCB1_2009_087_005743,Chaetoceros_flagellate,0.0
ACC,IFCB1_2009_087_005743,Chaetoceros_other,0.0
ACC,IFCB1_2009_087_005743,Chaetoceros_pennate,0.0
ACC,IFCB1_2009_087_005743,Chrysochromulina,0.0
ACC,IFCB1_2009_087_005743,Ciliate_mix,8.571684141414275e-16
ACC,IFCB1_2009_087_005743,Corethron,9.484888252300064e-17
ACC,IFCB1_2009_087_005743,Coscinodiscus,3.860850147132594e-17
ACC,IFCB1_2009_087_005743,Cylindrotheca,8.144924185527251e-16
ACC,IFCB1_2009_087_005743,DactFragCerataul,0.0
ACC,IFCB1_2009_087_005743,Dactyliosolen,1.3696702514548506e-16
ACC,IFCB1_2009_087_005743,Delphineis,0.0
ACC,IFCB1_2009_087_005743,Dictyocha,1.0480374629276151e-16
ACC,IFCB1_2009_087_005743,Dinobryon,1.7316146874167798e-16
ACC,IFCB1_2009_087_005743,Dinophysis,2.628609025874361e-17
ACC,IFCB1_2009_087_005743,Ditylum,2.926024625937367e-16
ACC,IFCB1_2009_087_005743,Ditylum_parasite,3.054413284376529e-17
ACC,IFCB1_2009_087_005743,Ephemera,1.562904275584156e-16
ACC,IFCB1_2009_087_005743,Eucampia,0.0
ACC,IFCB1_2009_087_005743,Euglena,2.576905133930081e-16
ACC,IFCB1_2009_087_005743,G_delicatula_detritus,6.2812607813474235e-18
ACC,IFCB1_2009_087_005743,G_delicatula_external_parasite,1.8486388834599495e-16
ACC,IFCB1_2009_087_005743,G_delicatula_parasite,0.0
ACC,IFCB1_2009_087_005743,Gonyaulax,1.7452218345368294e-16
ACC,IFCB1_2009_087_005743,Guinardia_delicatula,3.092942343409481e-16
ACC,IFCB1_2009_087_005743,Guinardia_flaccida,1.6250485884770788e-16
ACC,IFCB1_2009_087_005743,Guinardia_striata,3.491544217770917e-16
ACC,IFCB1_2009_087_005743,Gyrodinium,9.908251940904888e-17
ACC,IFCB1_2009_087_005743,Heterocapsa_triquetra,0.0
ACC,IFCB1_2009_087_005743,Katodinium_or_Torodinium,0.0
ACC,IFCB1_2009_087_005743,Laboea_strobila,2.325706945862302e-16
ACC,IFCB1_2009_087_005743,Lauderia,1.293012351413646e-16
ACC,IFCB1_2009_087_005743,Leegaardiella_ovalis,2.2530772272581417e-16
ACC,IFCB1_2009_087_005743,Leptocylindrus,0.0118085710922992
ACC,IFCB1_2009_087_005743,Leptocylindrus_mediterraneus,0.0
ACC,IFCB1_2009_087_005743,Licmophora,0.0
ACC,IFCB1_2009_087_005743,Mesodinium_sp,4.8355959213495254e-17
ACC,IFCB1_2009_087_005743,Odontella,7.885665745741022e-18
ACC,IFCB1_2009_087_005743,Other,0.0
ACC,IFCB1_2009_087_005743,Paralia,2.4935010877884256e-16
ACC,IFCB1_2009_087_005743,Phaeocystis,1.2848597931725888e-16
ACC,IFCB1_2009_087_005743,Pleuronema_sp,0.0
ACC,IFCB1_2009_087_005743,Pleurosigma,1.0392707260990586e-16
ACC,IFCB1_2009_087_005743,Prorocentrum,0.0
ACC,IFCB1_2009_087_005743,Proterythropsis_sp,0.0
ACC,IFCB1_2009_087_005743,Protoperidinium,0.0
ACC,IFCB1_2009_087_005743,Pseudochattonella_farcimen,3.892344396398517e-16
ACC,IFCB1_2009_087_005743,Pseudonitzschia,8.404697043930153e-16
ACC,IFCB1_2009_087_005743,Pyramimonas_longicauda,3.9324356992085776e-17
ACC,IFCB1_2009_087_005743,Rhizosolenia,4.363561335972854e-16
ACC,IFCB1_2009_087_005743,Skeletonema,0.0
ACC,IFCB1_2009_087_005743,Stephanopyxis,2.248049442161572e-16
ACC,IFCB1_2009_087_005743,Strobilidium_morphotype1,3.1592493569751196e-16
ACC,IFCB1_2009_087_005743,Strombidium_capitatum,4.755675657270944e-16
ACC,IFCB1_2009_087_005743,Strombidium_conicum,1.4264219042291576e-16
ACC,IFCB1_2009_087_005743,Strombidium_inclinatum,3.2562667996826307e-16
ACC,IFCB1_2009_087_005743,Strombidium_morphotype1,1.1013519762327271e-16
ACC,IFCB1_2009_087_005743,Strombidium_morphotype2,2.82053830174525e-16
ACC,IFCB1_2009_087_005743,Strombidium_oculatum,1.5619311898018196e-16
ACC,IFCB1_2009_087_005743,Strombidium_wulffi,9.198622866320491e-17
ACC,IFCB1_2009_087_005743,Thalassionema,2.313038343750367e-16
ACC,IFCB1_2009_087_005743,Thalassiosira,2.188785292329501e-16
ACC,IFCB1_2009_087_005743,Thalassiosira_dirty,3.6876076934194204e-17
ACC,IFCB1_2009_087_005743,Tintinnid,2.3562231818429527e-16
ACC,IFCB1_2009_087_005743,Tontonia_gracillima,1.6364862224746308e-16
ACC,IFCB1_2009_087_005743,amoeba,0.0
ACC,IFCB1_2009_087_005743,bad,1.9665631926608548e-17
ACC,IFCB1_2009_087_005743,bead,2.571972867101313e-16
ACC,IFCB1_2009_087_005743,bubble,1.206055426923166e-16
ACC,IFCB1_2009_087_005743,clusterflagellate,1.6967933297170867e-16
ACC,IFCB1_2009_087_005743,detritus,0.0
ACC,IFCB1_2009_087_005743,diatom_flagellate,2.033325477396529e-17
ACC,IFCB1_2009_087_005743,dino30,1.4735730538968566e-16
ACC,IFCB1_2009_087_005743,flagellate_sp3,4.8831558892931846e-17
ACC,IFCB1_2009_087_005743,kiteflagellates,0.0
ACC,IFCB1_2009_087_005743,mix,0.9881914289076864
ACC,IFCB1_2009_087_005743,mix_elongated,6.420661285783757e-16
ACC,IFCB1_2009_087_005743,other_interaction,2.9053429487487983e-16
ACC,IFCB1_2009_087_005743,pennate,7.335861438113283e-16
ACC,IFCB1_2009_087_005743,pennates_on_diatoms,2.248155570337576e-16
ACC,IFCB1_2009_087_005743,spore,1.0135587535723985e-16
ACC,IFCB1_2009_087_005743,zooplankton,0.0
ACC,IFCB1_2009_067_183223,Amphidinium_sp,3.0510717150048603e-16
ACC,IFCB1_2009_067_183223,Asterionellopsis,1.3109506876181738e-16
ACC,IFCB1_2009_067_183223,Bidulphia,0.0
ACC,IFCB1_2009_067_183223,Cerataulina,2.759598435897097e-16
ACC,IFCB1_2009_067_183223,Cerataulina_flagellate,0.0
ACC,IFCB1_2009_067_183223,Ceratium,9.326731987954984e-17
ACC,IFCB1_2009_067_183223,Chaetoceros,0.0
ACC,IFCB1_2009_067_183223,Chaetoceros_didymus,6.131191193075989e-17
ACC,IFCB1_2009_067_183223,Chaetoceros_flagellate,0.0
ACC,IFCB1_2009_067_183223,Chaetoceros_other,0.0
ACC,IFCB1_2009_067_183223,Chaetoceros_pennate,0.0015506946112206
ACC,IFCB1_2009_067_183223,Chrysochromulina,0.0
ACC,IFCB1_2009_067_183223,Ciliate_mix,0.001405638868652
ACC,IFCB1_2009_067_183223,Corethron,2.9475506725756557e-16
ACC,IFCB1_2009_067_183223,Coscinodiscus,0.0
ACC,IFCB1_2009_067_183223,Cylindrotheca,9.203792242229272e-16
ACC,IFCB1_2009_067_183223,DactFragCerataul,0.0
ACC,IFCB1_2009_067_183223,Dactyliosolen,2.089572823390823e-16
ACC,IFCB1_2009_067_183223,Delphineis,0.0
ACC,IFCB1_2009_067_183223,Dictyocha,1.8117715872505216e-16
ACC,IFCB1_2009_067_183223,Dinobryon,1.5510434682123036e-16
ACC,IFCB1_2009_067_183223,Dinophysis,0.0
ACC,IFCB1_2009_067_183223,Ditylum,1.3672028751243928e-16
ACC,IFCB1_2009_067_183223,Ditylum_parasite,5.0724801833745705e-17
ACC,IFCB1_2009_067_183223,Ephemera,2.854946766100112e-16
ACC,IFCB1_2009_067_183223,Eucampia,0.0
ACC,IFCB1_2009_067_183223,Euglena,1.300149856608221e-16
ACC,IFCB1_2009_067_183223,G_delicatula_detritus,0.0
ACC,IFCB1_2009_067_183223,G_delicatula_external_parasite,0.0
ACC,IFCB1_2009_067_183223,G_delicatula_parasite,4.660537110529068e-16
ACC,IFCB1_2009_067_183223,Gonyaulax,5.057740611097447e-16
ACC,IFCB1_2009_067_183223,Guinardia_delicatula,0.0342260471798893
ACC,IFCB1_2009_067_183223,Guinardia_flaccida,1.2970039848265849e-16
ACC,IFCB1_2009_067_183223,Guinardia_striata,1.2071955887698644e-16
ACC,IFCB1_2009_067_183223,Gyrodinium,1.1354996772944221e-16
ACC,IFCB1_2009_067_183223,Heterocapsa_triquetra,0.0
ACC,IFCB1_2009_067_183223,Katodinium_or_Torodinium,0.0
ACC,IFCB1_2009_067_183223,Laboea_strobila,6.811379148667269e-17
ACC,IFCB1_2009_067_183223,Lauderia,1.5672763749336296e-16
ACC,IFCB1_2009_067_183223,Leegaardiella_ovalis,2.0881866522428082e-16
ACC,IFCB1_2009_067_183223,Leptocylindrus,0.0049317053788369
ACC,IFCB1_2009_067_183223,Leptocylindrus_mediterraneus,0.0
ACC,IFCB1_2009_067_183223,Licmophora,0.0
ACC,IFCB1_2009_067_183223,Mesodinium_sp,0.0
ACC,IFCB1_2009_067_183223,Odontella,0.0
ACC,IFCB1_2009_067_183223,Other,4.960717911955189e-17
ACC,IFCB1_2009_067_183223,Paralia,1.0976652272696918e-16
ACC,IFCB1_2009_067_183223,Phaeocystis,0.0
ACC,IFCB1_2009_067_183223,Pleuronema_sp,0.0
ACC,IFCB1_2009_067_183223,Pleurosigma,5.090281354294863e-16
ACC,IFCB1_2009_067_183223,Prorocentrum,2.6049198567897707e-16
ACC,IFCB1_2009_067_183223,Proterythropsis_sp,1.724607457585196e-16
ACC,IFCB1_2009_067_183223,Protoperidinium,0.0
ACC,IFCB1_2009_067_183223,Pseudochattonella_farcimen,0.0
ACC,IFCB1_2009_067_183223,Pseudonitzschia,0.0
ACC,IFCB1_2009_067_183223,Pyramimonas_longicauda,0.0
ACC,IFCB1_2009_067_183223,Rhizosolenia,2.3175161669765157e-16
ACC,IFCB1_2009_067_183223,Skeletonema,6.038896331326084e-17
ACC,IFCB1_2009_067_183223,Stephanopyxis,5.678295553530132e-17
ACC,IFCB1_2009_067_183223,Strobilidium_morphotype1,2.2079594218239304e-16
ACC,IFCB1_2009_067_183223,Strombidium_capitatum,1.6828726532771327e-16
ACC,IFCB1_2009_067_183223,Strombidium_conicum,1.9844737758255915e-16
ACC,IFCB1_2009_067_183223,Strombidium_inclinatum,1.8756910919754946e-16
ACC,IFCB1_2009_067_183223,Strombidium_morphotype1,1.247099495586234e-16
ACC,IFCB1_2009_067_183223,Strombidium_morphotype2,2.88877682245122e-16
ACC,IFCB1_2009_067_183223,Strombidium_oculatum,2.8825674604955697e-16
ACC,IFCB1_2009_067_183223,Strombidium_wulffi,1.3822526044088239e-17
ACC,IFCB1_2009_067_183223,Thalassionema,1.9421329990417803e-16
ACC,IFCB1_2009_067_183223,Thalassiosira,4.664575830043579e-16
ACC,IFCB1_2009_067_183223,Thalassiosira_dirty,0.0
ACC,IFCB1_2009_067_183223,Tintinnid,0.0
ACC,IFCB1_2009_067_183223,Tontonia_gracillima,7.040635857073036e-17
ACC,IFCB1_2009_067_183223,amoeba,0.0
ACC,IFCB1_2009_067_183223,bad,0.0
ACC,IFCB1_2009_067_183223,bead,6.714602434642462e-17
ACC,IFCB1_2009_067_183223,bubble,1.4579265250759544e-16
ACC,IFCB1_2009_067_183223,clusterflagellate,0.0
ACC,IFCB1_2009_067_183223,detritus,0.0
ACC,IFCB1_2009_067_183223,diatom_flagellate,0.0
ACC,IFCB1_2009_067_183223,dino30,0.0106278970456577
ACC,IFCB1_2009_067_183223,flagellate_sp3,6.926036569086886e-17
ACC,IFCB1_2009_067_183223,kiteflagellates,1.9760074694756678e-16
ACC,IFCB1_2009_067_183223,mix,0.9472580169157336
ACC,IFCB1_2009_067_183223,mix_elongated,0.0
ACC,IFCB1_2009_067_183223,other_interaction,1.0959338021145063e-16
ACC,IFCB1_2009_067_183223,pennate,1.2230715080602443e-16
ACC,IFCB1_2009_067_183223,pennates_on_diatoms,0.0
ACC,IFCB1_2009_067_183223,spore,0.0
ACC,IFCB1_2009_067_183223,zooplankton,0.0
ACC,IFCB5_2010_239_191241,Amphidinium_sp,0.0
ACC,IFCB5_2010_239_191241,Asterionellopsis,0.0162674363650809
ACC,IFCB5_2010_239_191241,Bidulphia,0.0
ACC,IFCB5_2010_239_191241,Cerataulina,3.8481033114729734e-16
ACC,IFCB5_2010_239_191241,Cerataulina_flagellate,4.2545226391870354e-18
ACC,IFCB5_2010_239_191241,Ceratium,0.0
ACC,IFCB5_2010_239_191241,Chaetoceros,3.237962964873313e-17
ACC,IFCB5_2010_239_191241,Chaetoceros_didymus,0.0
ACC,IFCB5_2010_239_191241,Chaetoceros_flagellate,0.0
ACC,IFCB5_2010_239_191241,Chaetoceros_other,0.0062367515829856
ACC,IFCB5_2010_239_191241,Chaetoceros_pennate,1.701693730781064e-16
ACC,IFCB5_2010_239_191241,Chrysochromulina,1.2582982752037318e-17
ACC,IFCB5_2010_239_191241,Ciliate_mix,0.0046411731417868
ACC,IFCB5_2010_239_191241,Corethron,2.2656144388856747e-16
ACC,IFCB5_2010_239_191241,Coscinodiscus,0.0024126374912286
ACC,IFCB5_2010_239_191241,Cylindrotheca,0.0042383069870953
ACC,IFCB5_2010_239_191241,DactFragCerataul,0.0
ACC,IFCB5_2010_239_191241,Dactyliosolen,0.009860221674392
ACC,IFCB5_2010_239_191241,Delphineis,6.734255485181632e-17
ACC,IFCB5_2010_239_191241,Dictyocha,0.0
ACC,IFCB5_2010_239_191241,Dinobryon,0.0
ACC,IFCB5_2010_239_191241,Dinophysis,0.0
ACC,IFCB5_2010_239_191241,Ditylum,0.0
ACC,IFCB5_2010_239_191241,Ditylum_parasite,1.2572958594833027e-16
ACC,IFCB5_2010_239_191241,Ephemera,2.902598089604156e-17
ACC,IFCB5_2010_239_191241,Eucampia,6.123674097826666e-17
ACC,IFCB5_2010_239_191241,Euglena,1.6634361670895392e-16
ACC,IFCB5_2010_239_191241,G_delicatula_detritus,0.0
ACC,IFCB5_2010_239_191241,G_delicatula_external_parasite,1.022305429691972e-16
ACC,IFCB5_2010_239_191241,G_delicatula_parasite,9.793576562931696e-18
