method,sample,class,y_pred
DMy_b4,IFCB1_2009_087_005743,Amphidinium_sp,0.0
DMy_b4,IFCB1_2009_087_005743,Asterionellopsis,0.0
DMy_b4,IFCB1_2009_087_005743,Bidulphia,4.3722421767127514e-13
DMy_b4,IFCB1_2009_087_005743,Cerataulina,0.0
DMy_b4,IFCB1_2009_087_005743,Cerataulina_flagellate,4.879788688892584e-13
DMy_b4,IFCB1_2009_087_005743,Ceratium,0.0
DMy_b4,IFCB1_2009_087_005743,Chaetoceros,5.997802368333444e-14
DMy_b4,IFCB1_2009_087_005743,Chaetoceros_didymus,5.885129975868973e-13
DMy_b4,IFCB1_2009_087_005743,Chaetoceros_flagellate,6.890714570861995e-13
DMy_b4,IFCB1_2009_087_005743,Chaetoceros_other,6.148871160294577e-13
DMy_b4,IFCB1_2009_087_005743,Chaetoceros_pennate,6.295576044643962e-13
DMy_b4,IFCB1_2009_087_005743,Chrysochromulina,0.3086539294067616
DMy_b4,IFCB1_2009_087_005743,Ciliate_mix,5.886847684496962e-06
DMy_b4,IFCB1_2009_087_005743,Corethron,2.733169408274016e-12
DMy_b4,IFCB1_2009_087_005743,Coscinodiscus,6.926908441481871e-14
DMy_b4,IFCB1_2009_087_005743,Cylindrotheca,3.092265492173063e-07
DMy_b4,IFCB1_2009_087_005743,DactFragCerataul,0.0
DMy_b4,IFCB1_2009_087_005743,Dactyliosolen,2.972058625031247e-13
DMy_b4,IFCB1_2009_087_005743,Delphineis,0.0
DMy_b4,IFCB1_2009_087_005743,Dictyocha,0.0
DMy_b4,IFCB1_2009_087_005743,Dinobryon,0.000308179343033904
DMy_b4,IFCB1_2009_087_005743,Dinophysis,1.7213431955386008e-12
DMy_b4,IFCB1_2009_087_005743,Ditylum,0.0
DMy_b4,IFCB1_2009_087_005743,Ditylum_parasite,0.0
DMy_b4,IFCB1_2009_087_005743,Ephemera,0.0
DMy_b4,IFCB1_2009_087_005743,Eucampia,0.0
DMy_b4,IFCB1_2009_087_005743,Euglena,0.0
DMy_b4,IFCB1_2009_087_005743,G_delicatula_detritus,1.977551079893871e-13
DMy_b4,IFCB1_2009_087_005743,G_delicatula_external_parasite,6.280320713105674e-13
DMy_b4,IFCB1_2009_087_005743,G_delicatula_parasite,0.0
DMy_b4,IFCB1_2009_087_005743,Gonyaulax,8.967934879142364e-13
DMy_b4,IFCB1_2009_087_005743,Guinardia_delicatula,0.0
DMy_b4,IFCB1_2009_087_005743,Guinardia_flaccida,0.0
DMy_b4,IFCB1_2009_087_005743,Guinardia_striata,0.0
DMy_b4,IFCB1_2009_087_005743,Gyrodinium,0.0
DMy_b4,IFCB1_2009_087_005743,Heterocapsa_triquetra,6.368041694646033e-13
DMy_b4,IFCB1_2009_087_005743,Katodinium_or_Torodinium,0.0
DMy_b4,IFCB1_2009_087_005743,Laboea_strobila,0.0
DMy_b4,IFCB1_2009_087_005743,Lauderia,0.0
DMy_b4,IFCB1_2009_087_005743,Leegaardiella_ovalis,5.3913133697344034e-11
DMy_b4,IFCB1_2009_087_005743,Leptocylindrus,1.3347921751918928e-13
DMy_b4,IFCB1_2009_087_005743,Leptocylindrus_mediterraneus,0.0
DMy_b4,IFCB1_2009_087_005743,Licmophora,0.0
DMy_b4,IFCB1_2009_087_005743,Mesodinium_sp,6.020010462963803e-13
DMy_b4,IFCB1_2009_087_005743,Odontella,0.0
DMy_b4,IFCB1_2009_087_005743,Other,3.700372973031581e-12
DMy_b4,IFCB1_2009_087_005743,Paralia,0.0
DMy_b4,IFCB1_2009_087_005743,Phaeocystis,0.0
DMy_b4,IFCB1_2009_087_005743,Pleuronema_sp,0.0
DMy_b4,IFCB1_2009_087_005743,Pleurosigma,0.0
DMy_b4,IFCB1_2009_087_005743,Prorocentrum,4.972509015866041e-13
DMy_b4,IFCB1_2009_087_005743,Proterythropsis_sp,6.167517717476361e-13
DMy_b4,IFCB1_2009_087_005743,Protoperidinium,0.0
DMy_b4,IFCB1_2009_087_005743,Pseudochattonella_farcimen,2.6491191365562288e-12
DMy_b4,IFCB1_2009_087_005743,Pseudonitzschia,9.808964120867146e-13
DMy_b4,IFCB1_2009_087_005743,Pyramimonas_longicauda,9.278570481637269e-13
DMy_b4,IFCB1_2009_087_005743,Rhizosolenia,0.0
DMy_b4,IFCB1_2009_087_005743,Skeletonema,0.0
DMy_b4,IFCB1_2009_087_005743,Stephanopyxis,0.0
DMy_b4,IFCB1_2009_087_005743,Strobilidium_morphotype1,3.678362601581831e-11
DMy_b4,IFCB1_2009_087_005743,Strombidium_capitatum,2.350904682609474e-11
DMy_b4,IFCB1_2009_087_005743,Strombidium_conicum,3.7010250676189176e-11
DMy_b4,IFCB1_2009_087_005743,Strombidium_inclinatum,4.0655727451712e-11
DMy_b4,IFCB1_2009_087_005743,Strombidium_morphotype1,4.6129480223161746e-11
DMy_b4,IFCB1_2009_087_005743,Strombidium_morphotype2,1.774386423979747e-11
DMy_b4,IFCB1_2009_087_005743,Strombidium_oculatum,0.0
DMy_b4,IFCB1_2009_087_005743,Strombidium_wulffi,3.71139579831583e-11
DMy_b4,IFCB1_2009_087_005743,Thalassionema,7.341424198381358e-13
DMy_b4,IFCB1_2009_087_005743,Thalassiosira,0.0
DMy_b4,IFCB1_2009_087_005743,Thalassiosira_dirty,2.6572786732580794e-13
DMy_b4,IFCB1_2009_087_005743,Tintinnid,0.0
DMy_b4,IFCB1_2009_087_005743,Tontonia_gracillima,0.0
DMy_b4,IFCB1_2009_087_005743,amoeba,6.375318292995704e-13
DMy_b4,IFCB1_2009_087_005743,bad,1.7887916316461464e-13
DMy_b4,IFCB1_2009_087_005743,bead,6.000761997750948e-13
DMy_b4,IFCB1_2009_087_005743,bubble,0.0
DMy_b4,IFCB1_2009_087_005743,clusterflagellate,5.323241057653033e-13
DMy_b4,IFCB1_2009_087_005743,detritus,0.0
DMy_b4,IFCB1_2009_087_005743,diatom_flagellate,1.695801115825171e-12
DMy_b4,IFCB1_2009_087_005743,dino30,0.05560004579023143
DMy_b4,IFCB1_2009_087_005743,flagellate_sp3,0.08925662936787113
DMy_b4,IFCB1_2009_087_005743,kiteflagellates,3.3179286611708167e-13
DMy_b4,IFCB1_2009_087_005743,mix,0.5461750223033569
DMy_b4,IFCB1_2009_087_005743,mix_elongated,4.797720491625544e-13
DMy_b4,IFCB1_2009_087_005743,other_interaction,5.937781949005813e-12
DMy_b4,IFCB1_2009_087_005743,pennate,1.5668428741054226e-13
