method,sample,class,y_pred
EMQ,IFCB1_2009_087_005743,Amphidinium_sp,1.0078911935078675e-14
EMQ,IFCB1_2009_087_005743,Asterionellopsis,6.0534606729687015e-24
EMQ,IFCB1_2009_087_005743,Bidulphia,7.191284058169615e-10
EMQ,IFCB1_2009_087_005743,Cerataulina,1.930291460610702e-12
EMQ,IFCB1_2009_087_005743,Cerataulina_flagellate,6.899429554999586e-09
EMQ,IFCB1_2009_087_005743,Ceratium,1.9634208061402254e-31
EMQ,IFCB1_2009_087_005743,Chaetoceros,3.238682792405037e-15
EMQ,IFCB1_2009_087_005743,Chaetoceros_didymus,1.5956479290892912e-14
EMQ,IFCB1_2009_087_005743,Chaetoceros_flagellate,1.3852220604795733e-13
EMQ,IFCB1_2009_087_005743,Chaetoceros_other,7.898763658820793e-23
EMQ,IFCB1_2009_087_005743,Chaetoceros_pennate,1.4534946403527863e-11
EMQ,IFCB1_2009_087_005743,Chrysochromulina,2.2215343551147466e-15
EMQ,IFCB1_2009_087_005743,Ciliate_mix,6.591745963788e-09
EMQ,IFCB1_2009_087_005743,Corethron,4.6955398452633205e-28
EMQ,IFCB1_2009_087_005743,Coscinodiscus,2.229606956151182e-15
EMQ,IFCB1_2009_087_005743,Cylindrotheca,0.0181104130513056
EMQ,IFCB1_2009_087_005743,DactFragCerataul,2.0988094670979117e-21
EMQ,IFCB1_2009_087_005743,Dactyliosolen,2.888717548744006e-17
EMQ,IFCB1_2009_087_005743,Delphineis,1.1636818083948266e-17
EMQ,IFCB1_2009_087_005743,Dictyocha,1.9625846178245703e-26
EMQ,IFCB1_2009_087_005743,Dinobryon,0.0019161769394615
EMQ,IFCB1_2009_087_005743,Dinophysis,3.452879778942787e-14
EMQ,IFCB1_2009_087_005743,Ditylum,7.904038111167993e-11
EMQ,IFCB1_2009_087_005743,Ditylum_parasite,1.4082371944365054e-09
EMQ,IFCB1_2009_087_005743,Ephemera,7.025979992632766e-22
EMQ,IFCB1_2009_087_005743,Eucampia,3.2599924693218414e-14
EMQ,IFCB1_2009_087_005743,Euglena,4.1558511976408533e-16
EMQ,IFCB1_2009_087_005743,G_delicatula_detritus,3.095578925520014e-15
EMQ,IFCB1_2009_087_005743,G_delicatula_external_parasite,5.163648917708586e-17
EMQ,IFCB1_2009_087_005743,G_delicatula_parasite,4.038484364521059e-15
EMQ,IFCB1_2009_087_005743,Gonyaulax,4.790396644496509e-43
EMQ,IFCB1_2009_087_005743,Guinardia_delicatula,6.95715851147535e-32
EMQ,IFCB1_2009_087_005743,Guinardia_flaccida,8.894061646455522e-28
EMQ,IFCB1_2009_087_005743,Guinardia_striata,1.420738990480089e-13
EMQ,IFCB1_2009_087_005743,Gyrodinium,2.2636638492790794e-09
EMQ,IFCB1_2009_087_005743,Heterocapsa_triquetra,1.3162445244232238e-16
EMQ,IFCB1_2009_087_005743,Katodinium_or_Torodinium,1.9463594216982766e-10
EMQ,IFCB1_2009_087_005743,Laboea_strobila,1.2972939770846769e-23
EMQ,IFCB1_2009_087_005743,Lauderia,1.7360361063768658e-16
EMQ,IFCB1_2009_087_005743,Leegaardiella_ovalis,3.4759487159733864e-09
EMQ,IFCB1_2009_087_005743,Leptocylindrus,3.639149824552313e-12
EMQ,IFCB1_2009_087_005743,Leptocylindrus_mediterraneus,8.069368322592657e-06
EMQ,IFCB1_2009_087_005743,Licmophora,5.5755714360159156e-14
EMQ,IFCB1_2009_087_005743,Mesodinium_sp,2.108658352530669e-09
EMQ,IFCB1_2009_087_005743,Odontella,2.0959100242288498e-13
EMQ,IFCB1_2009_087_005743,Other,4.780635366998537e-09
EMQ,IFCB1_2009_087_005743,Paralia,3.551630231955467e-27
EMQ,IFCB1_2009_087_005743,Phaeocystis,2.1694949832895644e-14
EMQ,IFCB1_2009_087_005743,Pleuronema_sp,5.5772611610507346e-11
EMQ,IFCB1_2009_087_005743,Pleurosigma,6.705489330621842e-22
EMQ,IFCB1_2009_087_005743,Prorocentrum,4.121406871717614e-20
EMQ,IFCB1_2009_087_005743,Proterythropsis_sp,0.0028188194788672
EMQ,IFCB1_2009_087_005743,Protoperidinium,0.0010530364930938
EMQ,IFCB1_2009_087_005743,Pseudochattonella_farcimen,4.38060523538016e-17
EMQ,IFCB1_2009_087_005743,Pseudonitzschia,4.726596184213523e-22
EMQ,IFCB1_2009_087_005743,Pyramimonas_longicauda,4.632278503005929e-17
EMQ,IFCB1_2009_087_005743,Rhizosolenia,1.548597730265801e-23
EMQ,IFCB1_2009_087_005743,Skeletonema,9.69976018652353e-15
EMQ,IFCB1_2009_087_005743,Stephanopyxis,0.837902741121385
EMQ,IFCB1_2009_087_005743,Strobilidium_morphotype1,1.501985595005302e-11
EMQ,IFCB1_2009_087_005743,Strombidium_capitatum,0.0606333411468449
EMQ,IFCB1_2009_087_005743,Strombidium_conicum,3.7499108072795736e-32
EMQ,IFCB1_2009_087_005743,Strombidium_inclinatum,0.070397905663595
EMQ,IFCB1_2009_087_005743,Strombidium_morphotype1,6.255197582739248e-20
EMQ,IFCB1_2009_087_005743,Strombidium_morphotype2,2.6666178546670143e-18
EMQ,IFCB1_2009_087_005743,Strombidium_oculatum,1.0682805492120173e-15
EMQ,IFCB1_2009_087_005743,Strombidium_wulffi,5.234788508047889e-13
EMQ,IFCB1_2009_087_005743,Thalassionema,7.320631694353057e-50
EMQ,IFCB1_2009_087_005743,Thalassiosira,1.0603245939714789e-07
EMQ,IFCB1_2009_087_005743,Thalassiosira_dirty,2.638058987850266e-16
EMQ,IFCB1_2009_087_005743,Tintinnid,6.209828712138137e-15
EMQ,IFCB1_2009_087_005743,Tontonia_gracillima,9.597663869405043e-12
EMQ,IFCB1_2009_087_005743,amoeba,3.0155640958917314e-14
EMQ,IFCB1_2009_087_005743,bad,4.171182454641075e-20
EMQ,IFCB1_2009_087_005743,bead,4.821407726551477e-35
EMQ,IFCB1_2009_087_005743,bubble,1.6868265304565214e-19
EMQ,IFCB1_2009_087_005743,clusterflagellate,4.9493679806546895e-18
EMQ,IFCB1_2009_087_005743,detritus,2.953558306231518e-09
EMQ,IFCB1_2009_087_005743,diatom_flagellate,2.874771978627977e-10
EMQ,IFCB1_2009_087_005743,dino30,0.0058102169286848
EMQ,IFCB1_2009_087_005743,flagellate_sp3,7.490090738963926e-11
EMQ,IFCB1_2009_087_005743,kiteflagellates,8.890867679843408e-12
EMQ,IFCB1_2009_087_005743,mix,0.0013491135769142
EMQ,IFCB1_2009_087_005743,mix_elongated,2.853841468192493e-13
EMQ,IFCB1_2009_087_005743,other_interaction,2.3014917904770297e-13
EMQ,IFCB1_2009_087_005743,pennate,6.02994960029319e-18
EMQ,IFCB1_2009_087_005743,pennates_on_diatoms,2.8233919698903032e-08
EMQ,IFCB1_2009_087_005743,spore,1.6907441944353925e-11
EMQ,IFCB1_2009_087_005743,zooplankton,3.043032748549597e-14
EMQ,IFCB1_2009_067_183223,Amphidinium_sp,9.128206774440688e-11
EMQ,IFCB1_2009_067_183223,Asterionellopsis,0.0275811918557626
EMQ,IFCB1_2009_067_183223,Bidulphia,4.940215617138927e-08
EMQ,IFCB1_2009_067_183223,Cerataulina,1.1150199456634564e-18
EMQ,IFCB1_2009_067_183223,Cerataulina_flagellate,3.926687985228336e-06
EMQ,IFCB1_2009_067_183223,Ceratium,4.028688775191089e-40
EMQ,IFCB1_2009_067_183223,Chaetoceros,2.2029943161291747e-08
EMQ,IFCB1_2009_067_183223,Chaetoceros_didymus,8.513421926286896e-05
EMQ,IFCB1_2009_067_183223,Chaetoceros_flagellate,3.254382211118516e-05
EMQ,IFCB1_2009_067_183223,Chaetoceros_other,5.917444836569139e-13
EMQ,IFCB1_2009_067_183223,Chaetoceros_pennate,1.0853230805645187e-06
EMQ,IFCB1_2009_067_183223,Chrysochromulina,1.7444861017509567e-10
EMQ,IFCB1_2009_067_183223,Ciliate_mix,0.0035054435298179
EMQ,IFCB1_2009_067_183223,Corethron,5.61440497873816e-14
EMQ,IFCB1_2009_067_183223,Coscinodiscus,3.818271815930151e-18
EMQ,IFCB1_2009_067_183223,Cylindrotheca,0.0021988699171826
EMQ,IFCB1_2009_067_183223,DactFragCerataul,3.262305845895753e-19
EMQ,IFCB1_2009_067_183223,Dactyliosolen,0.0002763553716123
EMQ,IFCB1_2009_067_183223,Delphineis,8.140705862957275e-11
EMQ,IFCB1_2009_067_183223,Dictyocha,5.621278315595901e-28
EMQ,IFCB1_2009_067_183223,Dinobryon,8.286530177794438e-41
EMQ,IFCB1_2009_067_183223,Dinophysis,6.781370355093954e-13
EMQ,IFCB1_2009_067_183223,Ditylum,2.66676412994074e-12
EMQ,IFCB1_2009_067_183223,Ditylum_parasite,3.8733069145655096e-08
EMQ,IFCB1_2009_067_183223,Ephemera,3.2643683594244872e-21
EMQ,IFCB1_2009_067_183223,Eucampia,1.840622123044615e-13
EMQ,IFCB1_2009_067_183223,Euglena,4.929133866163555e-13
EMQ,IFCB1_2009_067_183223,G_delicatula_detritus,2.352995378354122e-09
EMQ,IFCB1_2009_067_183223,G_delicatula_external_parasite,0.0012456394006033
EMQ,IFCB1_2009_067_183223,G_delicatula_parasite,0.0001329922517156
EMQ,IFCB1_2009_067_183223,Gonyaulax,2.8879390279799304e-31
EMQ,IFCB1_2009_067_183223,Guinardia_delicatula,0.0076761555608543
EMQ,IFCB1_2009_067_183223,Guinardia_flaccida,5.2565037865439605e-25
EMQ,IFCB1_2009_067_183223,Guinardia_striata,6.580264432379778e-15
EMQ,IFCB1_2009_067_183223,Gyrodinium,2.8011412596503175e-11
EMQ,IFCB1_2009_067_183223,Heterocapsa_triquetra,0.0026041489011402
EMQ,IFCB1_2009_067_183223,Katodinium_or_Torodinium,4.119985791749066e-13
EMQ,IFCB1_2009_067_183223,Laboea_strobila,8.344195592311226e-28
EMQ,IFCB1_2009_067_183223,Lauderia,2.7235531690928935e-19
EMQ,IFCB1_2009_067_183223,Leegaardiella_ovalis,1.0623810145621372e-12
EMQ,IFCB1_2009_067_183223,Leptocylindrus,5.935650314630882e-19
EMQ,IFCB1_2009_067_183223,Leptocylindrus_mediterraneus,7.756165390593284e-05
