method,sample,class,y_pred
PACC,IFCB1_2009_087_005743,Amphidinium_sp,1.5334772837862349e-15
PACC,IFCB1_2009_087_005743,Asterionellopsis,6.510956346229074e-16
PACC,IFCB1_2009_087_005743,Bidulphia,4.712949820035594e-17
PACC,IFCB1_2009_087_005743,Cerataulina,0.0
PACC,IFCB1_2009_087_005743,Cerataulina_flagellate,6.85298852483223e-17
PACC,IFCB1_2009_087_005743,Ceratium,1.3438804397268257e-15
PACC,IFCB1_2009_087_005743,Chaetoceros,1.6207222389944001e-18
PACC,IFCB1_2009_087_005743,Chaetoceros_didymus,1.0982575210373612e-15
PACC,IFCB1_2009_087_005743,Chaetoceros_flagellate,2.490842221501245e-16
PACC,IFCB1_2009_087_005743,Chaetoceros_other,2.856167107253602e-16
PACC,IFCB1_2009_087_005743,Chaetoceros_pennate,1.3083297099207099e-16
PACC,IFCB1_2009_087_005743,Chrysochromulina,1.0247223986389106e-16
PACC,IFCB1_2009_087_005743,Ciliate_mix,4.0054241980711005e-16
PACC,IFCB1_2009_087_005743,Corethron,0.0
PACC,IFCB1_2009_087_005743,Coscinodiscus,2.372065601280509e-15
PACC,IFCB1_2009_087_005743,Cylindrotheca,1.670467717528192e-16
PACC,IFCB1_2009_087_005743,DactFragCerataul,4.489958464192269e-17
PACC,IFCB1_2009_087_005743,Dactyliosolen,7.756179834095276e-17
PACC,IFCB1_2009_087_005743,Delphineis,1.7855235900824223e-16
PACC,IFCB1_2009_087_005743,Dictyocha,1.3418450492889656e-16
PACC,IFCB1_2009_087_005743,Dinobryon,1.7524707047410806e-15
PACC,IFCB1_2009_087_005743,Dinophysis,2.172430855873582e-15
PACC,IFCB1_2009_087_005743,Ditylum,7.883353798569323e-16
PACC,IFCB1_2009_087_005743,Ditylum_parasite,8.982523562290323e-18
PACC,IFCB1_2009_087_005743,Ephemera,1.4094245935751288e-15
PACC,IFCB1_2009_087_005743,Eucampia,1.372245141918519e-16
PACC,IFCB1_2009_087_005743,Euglena,9.479545472835393e-16
PACC,IFCB1_2009_087_005743,G_delicatula_detritus,7.618502399235986e-16
PACC,IFCB1_2009_087_005743,G_delicatula_external_parasite,0.0
PACC,IFCB1_2009_087_005743,G_delicatula_parasite,2.527143753124063e-16
PACC,IFCB1_2009_087_005743,Gonyaulax,5.497693593647754e-16
PACC,IFCB1_2009_087_005743,Guinardia_delicatula,6.001018445823154e-16
PACC,IFCB1_2009_087_005743,Guinardia_flaccida,6.892248002707025e-17
PACC,IFCB1_2009_087_005743,Guinardia_striata,7.896445060494175e-16
PACC,IFCB1_2009_087_005743,Gyrodinium,2.1601748368586242e-15
PACC,IFCB1_2009_087_005743,Heterocapsa_triquetra,3.551192799446487e-15
PACC,IFCB1_2009_087_005743,Katodinium_or_Torodinium,1.1996288784654625e-15
PACC,IFCB1_2009_087_005743,Laboea_strobila,2.726850424208204e-16
PACC,IFCB1_2009_087_005743,Lauderia,1.1908218100364972e-15
PACC,IFCB1_2009_087_005743,Leegaardiella_ovalis,4.316722819154969e-16
PACC,IFCB1_2009_087_005743,Leptocylindrus,0.0026025098357675
PACC,IFCB1_2009_087_005743,Leptocylindrus_mediterraneus,1.0626222936465956e-15
PACC,IFCB1_2009_087_005743,Licmophora,5.451493246754598e-16
PACC,IFCB1_2009_087_005743,Mesodinium_sp,1.2009659233760888e-15
PACC,IFCB1_2009_087_005743,Odontella,1.1009001921172026e-15
PACC,IFCB1_2009_087_005743,Other,7.073188818077823e-17
PACC,IFCB1_2009_087_005743,Paralia,5.029044769683951e-16
PACC,IFCB1_2009_087_005743,Phaeocystis,7.116113603246533e-16
PACC,IFCB1_2009_087_005743,Pleuronema_sp,2.9572103833402762e-15
PACC,IFCB1_2009_087_005743,Pleurosigma,7.371286812698295e-16
PACC,IFCB1_2009_087_005743,Prorocentrum,1.4249741824791046e-15
