method,sample,class,y_pred
PCC,IFCB1_2009_087_005743,Amphidinium_sp,7.811206039798998e-08
PCC,IFCB1_2009_087_005743,Asterionellopsis,1.2691492781660194e-06
PCC,IFCB1_2009_087_005743,Bidulphia,4.478942628174081e-07
PCC,IFCB1_2009_087_005743,Cerataulina,0.0009489295852028
PCC,IFCB1_2009_087_005743,Cerataulina_flagellate,2.627104179709172e-06
PCC,IFCB1_2009_087_005743,Ceratium,4.148812174685601e-08
PCC,IFCB1_2009_087_005743,Chaetoceros,0.0006609420306198
PCC,IFCB1_2009_087_005743,Chaetoceros_didymus,1.2884928755022006e-07
PCC,IFCB1_2009_087_005743,Chaetoceros_flagellate,9.86898257449372e-06
PCC,IFCB1_2009_087_005743,Chaetoceros_other,1.254480599823274e-06
PCC,IFCB1_2009_087_005743,Chaetoceros_pennate,7.745701685523138e-06
PCC,IFCB1_2009_087_005743,Chrysochromulina,6.790865124622409e-06
PCC,IFCB1_2009_087_005743,Ciliate_mix,0.0033379820286168
PCC,IFCB1_2009_087_005743,Corethron,3.208020535007343e-05
PCC,IFCB1_2009_087_005743,Coscinodiscus,2.850377955584995e-07
PCC,IFCB1_2009_087_005743,Cylindrotheca,0.0078602600860694
PCC,IFCB1_2009_087_005743,DactFragCerataul,0.0001488835247888
PCC,IFCB1_2009_087_005743,Dactyliosolen,5.4078121629158574e-05
PCC,IFCB1_2009_087_005743,Delphineis,3.393833275224708e-07
PCC,IFCB1_2009_087_005743,Dictyocha,2.2215774034476683e-06
PCC,IFCB1_2009_087_005743,Dinobryon,0.0011067230557901
PCC,IFCB1_2009_087_005743,Dinophysis,2.389356367369324e-05
PCC,IFCB1_2009_087_005743,Ditylum,3.678830142988932e-07
PCC,IFCB1_2009_087_005743,Ditylum_parasite,1.7099992966865577e-07
PCC,IFCB1_2009_087_005743,Ephemera,6.535071526442425e-07
PCC,IFCB1_2009_087_005743,Eucampia,1.7169385426652792e-06
PCC,IFCB1_2009_087_005743,Euglena,1.0785545361302071e-05
PCC,IFCB1_2009_087_005743,G_delicatula_detritus,1.0080829570288396e-05
PCC,IFCB1_2009_087_005743,G_delicatula_external_parasite,1.2010823895609365e-07
PCC,IFCB1_2009_087_005743,G_delicatula_parasite,2.4833627390441493e-06
PCC,IFCB1_2009_087_005743,Gonyaulax,7.54398377467884e-08
PCC,IFCB1_2009_087_005743,Guinardia_delicatula,9.078898798032105e-06
PCC,IFCB1_2009_087_005743,Guinardia_flaccida,1.4287773756307165e-07
PCC,IFCB1_2009_087_005743,Guinardia_striata,4.070339578384609e-06
PCC,IFCB1_2009_087_005743,Gyrodinium,1.2883353722505642e-06
PCC,IFCB1_2009_087_005743,Heterocapsa_triquetra,1.7101257944803444e-05
PCC,IFCB1_2009_087_005743,Katodinium_or_Torodinium,7.909557811566336e-06
PCC,IFCB1_2009_087_005743,Laboea_strobila,1.5864150901722644e-07
PCC,IFCB1_2009_087_005743,Lauderia,9.535448674367777e-09
PCC,IFCB1_2009_087_005743,Leegaardiella_ovalis,1.0642511699490571e-06
PCC,IFCB1_2009_087_005743,Leptocylindrus,0.0125762152211805
PCC,IFCB1_2009_087_005743,Leptocylindrus_mediterraneus,3.115138629129392e-07
PCC,IFCB1_2009_087_005743,Licmophora,7.398035071189534e-08
PCC,IFCB1_2009_087_005743,Mesodinium_sp,0.0002626916774946
PCC,IFCB1_2009_087_005743,Odontella,1.9220867623309625e-07
PCC,IFCB1_2009_087_005743,Other,8.441649899071764e-05
PCC,IFCB1_2009_087_005743,Paralia,1.40830370528224e-07
PCC,IFCB1_2009_087_005743,Phaeocystis,4.7494870539925893e-08
PCC,IFCB1_2009_087_005743,Pleuronema_sp,1.4749244495987637e-07
PCC,IFCB1_2009_087_005743,Pleurosigma,2.282303845616052e-06
PCC,IFCB1_2009_087_005743,Prorocentrum,4.027602022547558e-06
PCC,IFCB1_2009_087_005743,Proterythropsis_sp,4.346914825952792e-06
PCC,IFCB1_2009_087_005743,Protoperidinium,1.276127257928758e-06
PCC,IFCB1_2009_087_005743,Pseudochattonella_farcimen,1.710104179928308e-06
PCC,IFCB1_2009_087_005743,Pseudonitzschia,3.109695967386162e-05
PCC,IFCB1_2009_087_005743,Pyramimonas_longicauda,2.5673007939278384e-06
PCC,IFCB1_2009_087_005743,Rhizosolenia,0.0004618348913681
PCC,IFCB1_2009_087_005743,Skeletonema,0.000374839871812
PCC,IFCB1_2009_087_005743,Stephanopyxis,1.2567446115728546e-07
PCC,IFCB1_2009_087_005743,Strobilidium_morphotype1,6.270254866517555e-07
PCC,IFCB1_2009_087_005743,Strombidium_capitatum,2.664478263441517e-07
PCC,IFCB1_2009_087_005743,Strombidium_conicum,1.854593698391747e-08
PCC,IFCB1_2009_087_005743,Strombidium_inclinatum,6.211417573578711e-06
PCC,IFCB1_2009_087_005743,Strombidium_morphotype1,2.30873444655728e-05
PCC,IFCB1_2009_087_005743,Strombidium_morphotype2,2.155843474814249e-06
PCC,IFCB1_2009_087_005743,Strombidium_oculatum,4.481525929919216e-05
PCC,IFCB1_2009_087_005743,Strombidium_wulffi,8.22464359637289e-08
PCC,IFCB1_2009_087_005743,Thalassionema,1.6524860074115958e-07
PCC,IFCB1_2009_087_005743,Thalassiosira,0.0016294835948569
PCC,IFCB1_2009_087_005743,Thalassiosira_dirty,1.8989175866824733e-06
PCC,IFCB1_2009_087_005743,Tintinnid,1.5285539977927144e-06
PCC,IFCB1_2009_087_005743,Tontonia_gracillima,1.425991319641681e-05
PCC,IFCB1_2009_087_005743,amoeba,1.2012275401127306e-07
PCC,IFCB1_2009_087_005743,bad,2.2942517441794092e-05
